state,district,rank_1_R2
Jammu & Kashmir,PUNCH,0.8706972998315834
Jammu & Kashmir,Reasi,0.9397218152721412
Jammu & Kashmir,Reasi,0.9397218152721412
Jammu & Kashmir,SAMBA,0.557245146075004
Jammu & Kashmir,SAMBA,0.557245146075004
Jammu & Kashmir,SRINAGAR,0.1037521475685615
Jammu & Kashmir,SRINAGAR,0.1037521475685615
Jharkhand,BOKARO,-2.257984555746205
Jharkhand,BOKARO,-2.257984555746205
Jharkhand,EAST  SINGHBHUM (Jamshedpur),0.7174430973706571
Jharkhand,EAST  SINGHBHUM (Jamshedpur),0.7174430973706571
Jharkhand,PALAMAU,0.7859118118314901
Jharkhand,PALAMAU,0.7859118118314901
Jharkhand,RAMGARH,-0.0999482959099078
Jharkhand,RAMGARH,-0.0999482959099078
Karnataka,Bangalore Rural,0.6501414891428932
Karnataka,Bangalore Rural,0.6501414891428932
Karnataka,Bangalore Urban,0.9512516235613192
Karnataka,Bangalore Urban,0.9512516235613192
Karnataka,Belgaum,0.853271970226385
Karnataka,Belgaum,0.853271970226385
Karnataka,Bijapur,0.6498188829905793
Karnataka,Bijapur,0.6498188829905793
Karnataka,Chikkamagaluru,0.802562001208554
Karnataka,Chikkamagaluru,0.802562001208554
Karnataka,Gadag,0.8243839233025081
Karnataka,Gadag,0.8243839233025081
Karnataka,Kodagu,0.5345616257053478
Karnataka,Kodagu,0.5345616257053478
Karnataka,Kolar,0.9786659614324886
Karnataka,Kolar,0.9786659614324886
Karnataka,Koppal,0.5894469686286155
Karnataka,Koppal,0.5894469686286155
Karnataka,Shivamogga,0.9101413523952646
Karnataka,Shivamogga,0.9101413523952646
Karnataka,Uttara Kannada,0.987202738646502
Karnataka,Uttara Kannada,0.987202738646502
Karnataka,Yadgir,0.9077078599552948
Karnataka,Yadgir,0.9077078599552948
Kerala,Alappuzha,0.4299421407433785
Kerala,Alappuzha,0.4299421407433785
Kerala,IDUKKI,0.8560353763866835
Kerala,IDUKKI,0.8560353763866835
Kerala,KOZHIKODE,0.9508920465473916
Kerala,KOZHIKODE,0.9508920465473916
Kerala,PATHANAMTHITTA,0.9724666769096983
Kerala,PATHANAMTHITTA,0.9724666769096983
Kerala,THIRUVANANTHAPURAM,0.9114870988721768
Kerala,THIRUVANANTHAPURAM,0.9114870988721768
Madhya Pradesh,AGAR MALWA,0.8908762860111633
Madhya Pradesh,AGAR MALWA,0.8908762860111633
Madhya Pradesh,ALIRAJPUR,0.840849856882584
Madhya Pradesh,ALIRAJPUR,0.840849856882584
Madhya Pradesh,ANUPPUR,0.900818405399591
Madhya Pradesh,ANUPPUR,0.900818405399591
Madhya Pradesh,BALAGHAT,0.8259240836047663
Madhya Pradesh,BALAGHAT,0.8259240836047663
Madhya Pradesh,BARWANI,0.0758144424500425
Madhya Pradesh,BARWANI,0.0758144424500425
Madhya Pradesh,BETUL,0.9208244429432138
Madhya Pradesh,BETUL,0.9208244429432138
Madhya Pradesh,CHHATARPUR,0.7830036302291865
Madhya Pradesh,CHHATARPUR,0.7830036302291865
Madhya Pradesh,CHHINDWARA,-0.3909890945212635
Madhya Pradesh,CHHINDWARA,-0.3909890945212635
Madhya Pradesh,DATIA,0.7390871483637815
Madhya Pradesh,DATIA,0.7390871483637815
Madhya Pradesh,DINDORI,0.915112891153168
Madhya Pradesh,DINDORI,0.915112891153168
Madhya Pradesh,GUNA,0.974327615807526
Madhya Pradesh,GUNA,0.974327615807526
Madhya Pradesh,GWALIOR,0.949638660806194
Madhya Pradesh,GWALIOR,0.949638660806194
Madhya Pradesh,HARDA,0.0841270105199579
Madhya Pradesh,HARDA,0.0841270105199579
Madhya Pradesh,JABALPUR,0.7250698126808262
Madhya Pradesh,JABALPUR,0.7250698126808262
Madhya Pradesh,KATNI,-0.0815038824063723
Madhya Pradesh,KATNI,-0.0815038824063723
Madhya Pradesh,Khandwa,0.5406475181137076
Madhya Pradesh,Khandwa,0.5406475181137076
Madhya Pradesh,MANDLA,0.9115391311343782
Madhya Pradesh,MANDLA,0.9115391311343782
Madhya Pradesh,MANDSAUR,0.9668959019567844
Madhya Pradesh,MANDSAUR,0.9668959019567844
Madhya Pradesh,NARSIMHAPUR,0.866277092552187
Madhya Pradesh,NARSIMHAPUR,0.866277092552187
Madhya Pradesh,NEEMUCH,0.6368915609442585
Madhya Pradesh,NEEMUCH,0.6368915609442585
Madhya Pradesh,PANNA,0.5365160261905287
Madhya Pradesh,PANNA,0.5365160261905287
Madhya Pradesh,RAJGARH,0.5741075318973661
Madhya Pradesh,RAJGARH,0.5741075318973661
Madhya Pradesh,SATNA,0.9118356610333432
Madhya Pradesh,SATNA,0.9118356610333432
Madhya Pradesh,SEHORE,0.0693825633914357
Madhya Pradesh,SEHORE,0.0693825633914357
Madhya Pradesh,SEONI,0.9501186249539606
Madhya Pradesh,SEONI,0.9501186249539606
Madhya Pradesh,SHAHDOL,0.6802288637717302
Madhya Pradesh,SHAHDOL,0.6802288637717302
Madhya Pradesh,SHEOPUR,0.8662391944069208
Madhya Pradesh,SHEOPUR,0.8662391944069208
Madhya Pradesh,SHIVPURI,0.9097166026724672
Madhya Pradesh,SHIVPURI,0.9097166026724672
Madhya Pradesh,SINGRAULI,0.9172495541084588
Madhya Pradesh,SINGRAULI,0.9172495541084588
Madhya Pradesh,UJJAIN,0.8914932640699287
Madhya Pradesh,UJJAIN,0.8914932640699287
Maharashtra,Ahmadnagar,0.9192466351330596
