Model,Accuracy,Precision (macro),Recall (macro),F1 (macro),Total
Persistence,0.747720971498281,0.7125821954457611,0.7471205819198264,0.7210537516942893,90170
Random Forest,0.9494066762781412,0.9307166838396664,0.9425625013023408,0.9360120470679764,90170
XGBoost,0.9513141843185094,0.9333981565043811,0.9458805881369649,0.938767797115792,90170
