Feature,Model,Metric,WeightedPearsonR,N_valid
IF__min_score,XGBoost,NRMSE,-0.11628976988818016,944
IF__min_score,XGBoost,MAE,-0.1488327595298981,950
IF__min_score,XGBoost,R2,0.10477614852266758,950
Persistence__Bias,Persistence,NRMSE,0.004628817880754909,944
Persistence__Bias,Persistence,MAE,-0.9511571689877713,950
Persistence__Bias,Persistence,R2,-0.05354155722473091,950
Persistence__Bias,Random Forest,NRMSE,0.029088668611602333,944
Persistence__Bias,Random Forest,MAE,-0.11091425925632122,950
Persistence__Bias,Random Forest,R2,-0.012623781166570088,950
Persistence__Bias,XGBoost,NRMSE,0.022893399564231493,944
Persistence__Bias,XGBoost,MAE,-0.18907822769283186,950
Persistence__Bias,XGBoost,R2,-0.01141929140560903,950
Persistence__Regime Accuracy,Persistence,NRMSE,-0.1512138199989739,944
Persistence__Regime Accuracy,Persistence,MAE,-0.056649682376067934,950
Persistence__Regime Accuracy,Persistence,R2,0.14471384067174423,950
Persistence__Regime Accuracy,Random Forest,NRMSE,0.3288032289005346,944
Persistence__Regime Accuracy,Random Forest,MAE,-0.07743953319826476,950
Persistence__Regime Accuracy,Random Forest,R2,-0.2256693869816102,950
Persistence__Regime Accuracy,XGBoost,NRMSE,0.30077457878260555,944
Persistence__Regime Accuracy,XGBoost,MAE,-0.07713823337095452,950
Persistence__Regime Accuracy,XGBoost,R2,-0.22049926124480979,950
Persistence__Regime Acc Low,Persistence,NRMSE,0.05637006556332022,724
Persistence__Regime Acc Low,Persistence,MAE,0.029662758581174037,724
Persistence__Regime Acc Low,Persistence,R2,-0.03801267271184273,724
Persistence__Regime Acc Low,Random Forest,NRMSE,0.3884105086420499,724
Persistence__Regime Acc Low,Random Forest,MAE,0.08949987374724293,724
Persistence__Regime Acc Low,Random Forest,R2,-0.248819315878918,724
Persistence__Regime Acc Low,XGBoost,NRMSE,0.3741762670387498,724
Persistence__Regime Acc Low,XGBoost,MAE,0.08812034539667082,724
Persistence__Regime Acc Low,XGBoost,R2,-0.26075257194633056,724
Persistence__Regime Acc Moderate,Persistence,NRMSE,0.1856585531709528,462
Persistence__Regime Acc Moderate,Persistence,MAE,-0.08146271654410792,464
Persistence__Regime Acc Moderate,Persistence,R2,-0.14796379443144006,464
Persistence__Regime Acc Moderate,Random Forest,NRMSE,0.044699585222844,462
Persistence__Regime Acc Moderate,Random Forest,MAE,-0.03492235559167065,464
Persistence__Regime Acc Moderate,Random Forest,R2,-0.07396144783777743,464
Persistence__Regime Acc Moderate,XGBoost,NRMSE,-0.04104895864244393,462
Persistence__Regime Acc Moderate,XGBoost,MAE,-0.06939753622258564,464
Persistence__Regime Acc Moderate,XGBoost,R2,0.05298084034284912,464
Persistence__Regime Acc High,Persistence,NRMSE,0.1097274707010104,420
Persistence__Regime Acc High,Persistence,MAE,-0.10306428541889082,424
Persistence__Regime Acc High,Persistence,R2,-0.012589937748921176,424
Persistence__Regime Acc High,Random Forest,NRMSE,0.17744723526816739,420
Persistence__Regime Acc High,Random Forest,MAE,-0.1187920763850255,424
Persistence__Regime Acc High,Random Forest,R2,-0.13321349262381116,424
Persistence__Regime Acc High,XGBoost,NRMSE,0.17287412231173413,420
Persistence__Regime Acc High,XGBoost,MAE,-0.1312535865165423,424
Persistence__Regime Acc High,XGBoost,R2,-0.09094039196053065,424
Random Forest__Bias,Persistence,NRMSE,-0.03790884213513442,944
Random Forest__Bias,Persistence,MAE,-0.10920529552264545,950
Random Forest__Bias,Persistence,R2,-0.03599783193775673,950
