state,district,rows,regime_valid,regime_class_count,Regime Coverage,Regime Majority Share,Persistence__RMSE,Persistence__MAE,Persistence__MAPE,Persistence__R2,Persistence__mNSE,Persistence__KGE,Persistence__PBIAS,Persistence__Pearson r,Persistence__Alpha,Persistence__Beta,Persistence__NRMSE,Random Forest__RMSE,Random Forest__MAE,Random Forest__MAPE,Random Forest__R2,Random Forest__mNSE,Random Forest__KGE,Random Forest__PBIAS,Random Forest__Pearson r,Random Forest__Alpha,Random Forest__Beta,Random Forest__NRMSE,XGBoost__RMSE,XGBoost__MAE,XGBoost__MAPE,XGBoost__R2,XGBoost__mNSE,XGBoost__KGE,XGBoost__PBIAS,XGBoost__Pearson r,XGBoost__Alpha,XGBoost__Beta,XGBoost__NRMSE
Andhra Pradesh,ALLURI SITHARAMA RAJU,486,False,1,0.3333333333333333,1.0,4.179590351960832,3.647755102040816,10.515692477174609,-3.1874052847252186,-1.0442161231067986,,35735999999.99999,,,,0.6520421765929539,4.289533389335852,3.770208528101707,10.88032309549998,-3.4105999294924425,-1.1128394985475714,-0.4428133660459594,36948043575.396736,-0.0567586212921134,0.0240974682480289,0.8878132178652206,0.6691939764954531,4.312067273024357,3.7897652357451768,10.936753486309076,-3.4570613929570664,-1.1237991534480058,-0.6076581758244088,37139699310.302734,-0.2733316622659173,0.0250771798076624,0.8872312861011504,0.6727094029679187
Andhra Pradesh,ANAKAPALLE,486,False,1,0.3333333333333333,1.0,0.3855041358734173,0.2798061224489797,7.874673044005609,-0.9286122571699836,-0.183623257219321,,2621500000.000001,,,,0.4199391458316092,0.2872223684060161,0.2338933699519499,6.720435725031278,-0.0705904306098927,0.0105948005658439,0.4220293366164729,2257273048.8095336,0.9333695791124064,0.4301093192281705,0.930465212204558,0.3128783969564446,0.1167416673114628,0.0999931260517665,3.0023920802506634,0.8231363341535289,0.5770135816863158,0.7648548528175306,422556328.7734988,0.9597024769381618,1.2313004842889532,0.9869832474771352,0.1271695722347089
Andhra Pradesh,ANANTAPUR,486,False,1,0.3333333333333333,1.0,7.953906689963937,6.667040816326532,442.5747749292172,-2.3624217153844778,-0.7523947199026133,,-65337000000.000015,,,,0.6337774254951345,8.388023898593561,7.176310868156785,470.6185184484678,-2.7394739869124125,-0.8862535298931589,-3.6635958005964726,-70327846507.9365,-0.295499706729225,0.003958182093027,5.367917924845443,0.6683684381349452,8.269655133839448,7.040515366768351,462.386310813642,-2.634678446079988,-0.8505604351341054,-3.508598851892065,-68997050594.32983,0.0024914725746837,0.0156500378845925,5.285264927292082,0.6589366640509521
Andhra Pradesh,ANANTHAPURAMU,486,False,2,0.6666666666666666,0.8775510204081632,1.8806213693069311,1.614081632653061,28.235376589082616,-2.79691168716796,-0.984895900023048,,15817999999.999998,,,,0.4846962292028173,0.472487055125189,0.3654313260029851,7.032673642657686,0.7603333576081106,0.5506155785125523,0.8816698418309346,2429882005.4112763,0.9219058616364691,1.075453083242839,0.9529876174319686,0.1217750142075229,0.3719338196118883,0.2980865398718386,5.864375013903013,0.8514888356647455,0.6334319535802275,0.9120856001592996,1686782871.246338,0.9468598495884192,1.0619678136653323,0.967364801469521,0.0958592318587341
Andhra Pradesh,ANNAMAYYA,486,False,2,0.6666666666666666,0.8775510204081632,17.06356063130926,15.940540816326529,403.121261336054,-6.681081926523832,-2.755379233489614,-7.685272683388222,-856.9361795653725,,,,0.9161643291978128,0.7143711710859727,0.5159498540702022,12.429277002045346,0.9865373387726448,0.8784490821344826,0.7355506623011647,-26.377139448677543,0.996542426468544,0.9813949242106088,0.7362286055132244,0.0383554991187099,0.5298160461393759,0.2550354659070774,5.882232466486389,0.9925948596860578,0.9399170389821504,0.9633670168883356,3.181143894854239,0.9964386872410544,0.9821863856807322,1.0318114389485422,0.0284464991215772
Andhra Pradesh,BAPATLA,486,False,1,0.3333333333333333,1.0,1.1846057640947598,0.9878571428571424,15.561869537422032,-2.283096252988619,-0.8063974410235906,,9680999999.999998,,,,0.5384571654976182,0.8648127121337438,0.7814191172782203,12.832055817737825,-0.7497663570559128,-0.4289044767502581,0.7293435701104398,7657907349.32656,0.8240817404436793,0.8413717672387526,0.8690620270269891,0.39309668733352,0.6613713779815829,0.5774275186110516,9.499128260079043,-0.0233559633857212,-0.0558850533578074,0.3164897881504324,2696719846.725464,0.8818203655236693,1.6716350859341893,0.95389040186842,0.3006233536279923
Andhra Pradesh,CHITTOOR,486,False,2,0.6666666666666666,0.5204081632653061,20.16094922550696,18.4460612244898,25.868384624441926,-5.139316413007913,-1.789813365494081,,180771400000.00003,,,,0.7098675830254906,4.181451972046081,3.360356765055304,5.216602804175633,0.7359097966671382,0.4917739835139769,0.7984952661090438,29447076005.478493,0.9620736492156376,1.192946604295989,0.9559845755752192,0.1472290402466843,3.955455581130552,2.3935446964186067,3.8121873777023,0.7636851089644964,0.6379962690294715,0.7505117407265033,18122015673.82812,0.9494233096478094,1.2428016809220954,0.972912481661416,0.1392717010362505
Andhra Pradesh,CUDDAPAH,486,False,2,0.6666666666666666,0.9081632653061223,2.7561135643495964,2.157285714285714,44.83401728800725,-1.5817261227956632,-0.5380069797073013,,21141400000.0,,,,0.4762594719802309,2.2916642903544497,1.8347633499352125,38.73028604554584,-0.7849166757942239,-0.3080691257652173,0.0901551133318065,17980680829.365086,0.9379337831218576,0.2164737111104092,0.5416856350302792,0.3960021237868411,0.8973554802182963,0.684355136345844,15.214848000217982,0.7263187838980267,0.5120984812867262,0.7187812565847613,6679390737.724305,0.9567056971986804,0.780401322467077,0.8297472296296332,0.1550640193914457
Andhra Pradesh,EAST GODAVARI,486,False,1,0.3333333333333333,1.0,0.7853944154086541,0.6594897959183669,6.007929474312116,-2.3907901076538565,-0.848587089129252,,6462999999.999996,,,,0.4818370646678857,0.6431470292617584,0.4971762899109691,4.4989511618651,-1.2737663010367664,-0.3936131783066503,-0.0725424592222578,4827609492.979351,0.4689776217464504,0.0692740969205065,0.9540450876909372,0.3945687296084405,0.6564894998830657,0.5105927397280323,4.622588837799296,-1.3690861739364375,-0.4312202437491663,-0.1332044964320862,4979272724.151611,0.3300728919195719,0.0872549802112286,0.9526013771962988,0.4027542944067885
Andhra Pradesh,ELURU,486,False,1,0.3333333333333333,1.0,1.3066333901774172,1.1466326530612243,19.747952869413908,-3.349515403200924,-1.2127190162353312,,11236999999.999998,,,,0.565642160249964,1.12773007088171,1.018447629170716,17.70804716856868,-2.239990158388178,-0.9653534461010196,0.2669744992598,9980786765.873018,0.781643312448268,0.3250448813676289,0.8153859984486062,0.488194835879528,1.2737148913155332,1.1068365805489675,19.015208627638224,-3.133118161854422,-1.135922383779192,-0.3804645435058198,10846998489.379885,-0.0199909344878113,0.0916796061391761,0.7993637332486196,0.551391727842222
Andhra Pradesh,GUNTUR,486,False,2,0.6666666666666666,0.5408163265306123,0.4158897518745632,0.2829591836734694,19.70990443047225,-0.7748757618272679,-0.0336703410396268,,2693000000.0000005,,,,0.4332184915360033,0.1773357886398678,0.0941103388972344,6.373872565992719,0.6772960344968579,0.6562081327760766,0.5374405988855854,-719628109.109838,0.980132534699105,1.4576593381892835,1.0641436945458451,0.1847247798331956,0.0323984619593985,0.0267530124284783,2.533442391967332,0.9892288937962368,0.9022693127617494,0.9687628169216465,138561547.04093924,0.99615371000504,1.0284329030330803,0.9876493852356772,0.0337483978743734
Andhra Pradesh,KONA SEEMA,486,True,3,1.0,0.5510204081632653,0.4291103754114019,0.1611224489795918,7.915217618004922,-0.0077592427682038,-0.0104610160637326,,369000000.0000011,,,,0.0920837715475111,0.3829089585353788,0.1171023435394851,6.451530813075081,0.1975650915178002,0.2656060419529745,0.1299510038181826,-234399648.5379651,0.4854362931576187,0.2984808932284846,1.0089660577798247,0.0821693044067336,0.3724568166339385,0.1002308180867409,5.892191930306243,0.2407748023467282,0.3714138847426802,0.2371766594405182,-324799782.7529907,0.5036133122371524,0.4209098946231816,1.0124239675153193,0.0799263555008451
Andhra Pradesh,KRISHNA,486,False,1,0.3333333333333333,1.0,0.7960703678772653,0.6912755102040813,9.427005804326084,-3.065846426107595,-1.1302146703835474,,6774499999.999997,,,,0.5296542700447543,0.3113091080085334,0.2661701047010439,3.6680810882500414,0.378227216836719,0.1797778838074321,0.7728150002685916,2608467026.0702305,0.922082381320288,0.7898913803624068,0.9626337484321988,0.2071251550289644,0.2128993002336694,0.1776022035248426,2.438910727935288,0.7091985808658512,0.4527061730721925,0.6089520605631953,-966857275.3906246,0.9725213747862802,1.389835333963187,1.0138502161696226,0.1416495676870722
Andhra Pradesh,KURNOOL,486,True,3,1.0,0.5,5.520512818163744,1.2745306122448974,7.046161155358301,-0.0088628643627179,0.0295272662692999,,5070799999.999993,,,,0.0722003742844554,5.969288858295665,2.668695290155516,21.954385205458536,-0.1795557756331471,-1.0320390807795103,0.0255187784331041,-19195035176.341225,0.1936583620694763,0.4937595580298242,1.2077195923351258,0.0780697199656774,8.23411698289455,5.0973108153829765,46.06043479876023,-1.2444366744114237,-2.881272928365936,-0.0218296402852669,-42023987447.35719,0.0911451470260732,0.8936579486970475,1.4547637167980094,0.1076904171132283
Andhra Pradesh,Kadapa,486,False,2,0.6666666666666666,0.7755102040816326,3.859628696321628,3.107244897959184,48.13714564402723,-1.8419320354441755,-0.6462724113201304,,30451000000.000004,,,,0.5139319169536123,0.5811477993052598,0.384125930884952,7.001961116170204,0.9355688579603594,0.796483398233625,0.9223133468938955,-1199224915.2274826,0.973476658993298,1.0695557967893117,1.022219801656954,0.0773831956465059,0.4208018407229797,0.3166419821369404,5.509649036758102,0.9662185804054114,0.832237568464546,0.9421984378296242,1990035148.620605,0.987416922259398,0.9573019918331084,0.9631276954545848,0.0560322024930732
Andhra Pradesh,NELLORE,486,False,1,0.3333333333333333,1.0,2.676986580665137,2.115806122448979,25.720816163504885,-1.6629574747899687,-0.4570934000491906,,20731500000.0,,,,0.564526904400071,1.3496760506078775,1.045759479429867,12.716204147816484,0.3230900060762135,0.2798162273240698,0.4843514468840706,10248442898.412697,0.973503250324788,0.5063462777333453,0.8533802363953714,0.2846216892888817,0.97278321909529,0.6643997861122599,7.912448803460221,0.648355375080901,0.5424474231988085,0.6026893658490593,-688638491.0583494,0.9291531146192924,1.3908188790961162,1.009852034476736,0.2051419694422795
Andhra Pradesh,PRAKASAM,486,False,2,0.6666666666666666,0.8979591836734694,3.6077525114222393,2.732163265306123,137.18818709322895,-0.8859873198928565,-0.2208836806347183,,-24233000000.00001,,,,0.2907836311293817,3.697650252602549,2.936450491801567,137.7377622216039,-0.9811481533923732,-0.3121706634287242,-0.1058821917979107,-26790450797.251823,0.3277526603520987,0.2522027916420948,1.4602806444379277,0.2980293586364592,3.7182099764357472,2.940004599201436,136.97965783959393,-1.0032406148348358,-0.3137588378174307,-0.0429979152473816,-27301765489.95972,0.3486631375559011,0.3339800535787287,1.4690654259278422,0.2996864654175665
