,mean_abs_shap
lag_1,3.318573449930576
rolling_7,0.8468663718459951
rolling_14,0.35637025959897994
diff_1,0.338320038087329
diff_7,0.2597202207551271
lag_3,0.24485167748396638
lag_7,0.2073338006389981
dayofyear,0.178319473518809
rolling_7_std,0.08542903840295185
lag_14,0.05786475425738569
rolling_14_std,0.04857791860632759
month,0.04193499884002886
is_monsoon,0.010183773418978472
weekday,0.00442565479664052
