state,district,rows,rank_1,rank_1_R2,rank_2,rank_2_R2,rank_3,rank_3_R2
Bihar,BEGUSARAI,486,XGBoost,1.0137601767008868,Random Forest,0.0,Persistence,-6.712160782998155
Bihar,BHAGALPUR,486,XGBoost,0.6885880395554942,Random Forest,0.0,Persistence,-3.348599134459114
Bihar,JAMUI,486,XGBoost,1.0196149426612389,Random Forest,0.0,Persistence,-1.4699364397235688
Bihar,KAIMUR,486,XGBoost,1.0926964495681692,Random Forest,0.0,Persistence,-1.4800145538751406
Bihar,KATIHAR,486,XGBoost,1.016662142144197,Random Forest,0.0,Persistence,-3.58535831054827
Bihar,KHAGARIA,486,XGBoost,1.0061698533425725,Random Forest,0.0,Persistence,-4.5691331242040025
Bihar,PATNA,486,XGBoost,0.7994777787761809,Random Forest,0.0,Persistence,-10.07958122664557
Bihar,ROHTAS,486,XGBoost,0.9565851889027892,Random Forest,0.0,Persistence,-0.2416680071382497
Chandigarh,CHANDIGARH,469,XGBoost,0.9939139807837,Random Forest,0.0,Persistence,-0.1957494142442324
Chhattisgarh,BALOD,486,XGBoost,0.8170020473909794,Random Forest,0.0,Persistence,-0.0026077746910442
Chhattisgarh,BALODABAZAR,486,XGBoost,0.4793565964121931,Random Forest,0.0,Persistence,-1.0206831310544695
Chhattisgarh,BALRAMPUR,486,XGBoost,0.765483976324791,Random Forest,0.0,Persistence,-2.5444815482800625
Chhattisgarh,BASTAR,486,XGBoost,0.037150376991075,Random Forest,0.0,Persistence,-4.082442469584056
Chhattisgarh,BEMETARA,486,XGBoost,0.179477575291862,Random Forest,0.0,Persistence,-0.954906936075444
Chhattisgarh,BILASPUR,486,XGBoost,0.7918006342834315,Random Forest,0.0,Persistence,-0.652134768430314
Chhattisgarh,DHAMTARI,486,XGBoost,1.1542733137443866,Random Forest,0.0,Persistence,-5.715777552353289
Chhattisgarh,DURG,486,Random Forest,1.0,XGBoost,0.9072452258546536,Persistence,-2.175837825692742
Chhattisgarh,GARIABAND,486,XGBoost,0.7489632550376881,Random Forest,0.0,Persistence,-1.6102635100301708
Chhattisgarh,JANJGIR - CHAMPA,486,XGBoost,0.391803770483796,Random Forest,0.0,Persistence,-0.3103824746138819
Chhattisgarh,JASHPUR,486,XGBoost,0.8503061343320879,Random Forest,0.0,Persistence,-1.3050606493673014
Chhattisgarh,KANKER,486,XGBoost,0.9677652922374608,Random Forest,0.0,Persistence,-4.314716806857695
Chhattisgarh,KAWARDHA,486,Random Forest,1.0,XGBoost,0.905207777054654,Persistence,-3.1044785997876483
Chhattisgarh,KORBA,486,XGBoost,0.6613383986004978,Random Forest,0.0,Persistence,-0.8405820741212175
Chhattisgarh,KORIYA,486,XGBoost,0.3361219430167386,Random Forest,0.0,Persistence,-4.435568566038282
Chhattisgarh,MAHASAMUND,486,XGBoost,0.4973744814801814,Random Forest,0.0,Persistence,-0.0206115254177963
Chhattisgarh,MUNGELI,486,XGBoost,0.6585519425748046,Random Forest,0.0,Persistence,-0.2519841693052704
Chhattisgarh,RAIGARH,486,XGBoost,0.5570309583988111,Random Forest,0.0,Persistence,-3.0128701166969
Chhattisgarh,RAIPUR,486,Random Forest,1.0,XGBoost,0.5107967048408465,Persistence,-0.1127021065807283
Chhattisgarh,RAJNANDGAON,486,XGBoost,0.9078131478159048,Random Forest,0.0,Persistence,-3.366683627958401
Chhattisgarh,SUKMA,486,XGBoost,1.2236116309833656,Random Forest,0.0,Persistence,-7.509715626975854
Chhattisgarh,SURAJPUR,486,XGBoost,0.2793046483306715,Random Forest,0.0,Persistence,-5.523111202788543
Chhattisgarh,SURGUJA,486,XGBoost,0.8383423963821169,Random Forest,0.0,Persistence,-1.7921419025118237
Delhi,CENTRAL,315,XGBoost,0.2342181299845452,Random Forest,0.0,Persistence,-1.0598033266451563
Delhi,EAST,333,XGBoost,27.18145132080917,Random Forest,0.0,Persistence,-2.781941970845487
Delhi,NEW DELHI,430,XGBoost,0.3759551259964981,Random Forest,0.0,Persistence,-3.1495915189803894
Delhi,NORTH,412,XGBoost,0.53207408029316,Random Forest,0.0,Persistence,-1.5638288696591336
Delhi,NORTH EAST,328,XGBoost,0.5539357841985103,Random Forest,0.0,Persistence,-1.7610723510496746
Delhi,NORTH WEST,486,XGBoost,1.456628525912532,Random Forest,0.0,Persistence,-4.282786435345369
Delhi,Nazul Land,486,XGBoost,1.1316302323470104,Random Forest,0.0,Persistence,-4.396589079418763
Delhi,SOUTH,276,XGBoost,0.1560253710486807,Random Forest,0.0,Persistence,-44.496506989743416
Delhi,SOUTH WEST,426,XGBoost,0.5076241137200569,Random Forest,0.0,Persistence,-2.1814168874315167
Delhi,Shahdara,486,Random Forest,1.0,XGBoost,0.4486582443729701,Persistence,-0.159500216174264
Delhi,South East Delhi,295,XGBoost,0.1412511365805506,Random Forest,0.0,Persistence,-0.2578331654834762
Delhi,WEST,395,Random Forest,1.0,XGBoost,0.5895548448116062,Persistence,-0.1744989725035841
Goa,NORTH GOA,486,XGBoost,0.7324805531349827,Random Forest,0.0,Persistence,-16.92015268658925
Goa,SOUTH GOA,486,XGBoost,0.1137266230111295,Random Forest,0.0,Persistence,-1.5047969083172053
Gujarat,Ahmedabad,474,XGBoost,10.638447146186648,Random Forest,0.0,Persistence,-0.258535486286134
Gujarat,Amreli,486,XGBoost,0.1890276545573857,Random Forest,0.0,Persistence,-1.0598860900802602
Gujarat,Anand,486,XGBoost,0.8736642107103076,Random Forest,0.0,Persistence,-0.3135666954213698
Gujarat,Banaskantha,486,XGBoost,0.7789814357829473,Random Forest,0.0,Persistence,-2.482234027317023
Gujarat,Bharuch,486,Random Forest,1.0,XGBoost,0.8245269599132066,Persistence,-0.6864495448485599
Gujarat,Bhavnagar,486,XGBoost,0.3034400630075237,Random Forest,0.0,Persistence,-1.0838023657877156
Gujarat,Chhota Udaipur,486,XGBoost,0.7154235829242612,Random Forest,0.0,Persistence,-2.298905930516197
Gujarat,DIU,486,XGBoost,0.8269087533508803,Random Forest,0.0,Persistence,-1.613972892614736
Gujarat,Dang,486,XGBoost,0.2759904314022371,Random Forest,0.0,Persistence,-9.302573764842812
Gujarat,Devbhumi Dwarka,384,XGBoost,0.2001292293256313,Random Forest,0.0,Persistence,-2.244632732975912
Gujarat,Dohad,486,XGBoost,1.024406145279206,Random Forest,0.0,Persistence,-7.183844689860235
Gujarat,Gandhinagar,486,XGBoost,0.0433416446741089,Random Forest,0.0,Persistence,-7.476732630301896
Gujarat,Gir Somnath,373,Random Forest,1.0,XGBoost,0.6477649880233586,Persistence,-0.1651407031168921
Gujarat,Jamnagar,486,Random Forest,1.0,XGBoost,0.4677362440727662,Persistence,-0.0028446643827928
Gujarat,Junagadh,486,XGBoost,1.070246839905984,Random Forest,0.0,Persistence,-0.0867280668983982
Gujarat,Kachchh,486,XGBoost,0.7573202342032118,Random Forest,0.0,Persistence,-0.278291648212108
Gujarat,Kheda,486,XGBoost,1.0312112373620774,Random Forest,1.0,Persistence,-4.589979701304099
Gujarat,Mahesana,486,Random Forest,1.0,XGBoost,0.9377306180606866,Persistence,-9.646624815110377
Gujarat,Morbi,384,XGBoost,1.8000526562542516,Random Forest,0.0,Persistence,-1.2609782749308946
Gujarat,Narmada,486,Random Forest,1.0,XGBoost,0.7304851927066397,Persistence,-1.570069234290543
Gujarat,Navsari,486,XGBoost,0.6152759804445517,Random Forest,0.0,Persistence,-2.0019187813114185
Gujarat,Panchmahals,486,Random Forest,1.0,XGBoost,0.9356993330455428,Persistence,-0.985696654379238
Gujarat,Patan,486,XGBoost,74.46656454827608,Random Forest,0.0,Persistence,-6.918359643102425
Gujarat,Porbandar,486,XGBoost,0.927892802350484,Random Forest,0.0,Persistence,-2.7960236346428697
Gujarat,Rajkot,486,XGBoost,0.782943787017366,Random Forest,0.0,Persistence,-0.2312259890367953
Gujarat,Sabarkantha,486,Random Forest,1.0,XGBoost,0.4488830953896464,Persistence,-0.495808159664455
Gujarat,Surat,486,XGBoost,1.0089731451546946,Random Forest,1.0,Persistence,-1.532795739321891
Gujarat,Surendranagar,486,XGBoost,0.2170992242088975,Random Forest,0.0,Persistence,-0.6757321275792374
Gujarat,TAPI,486,XGBoost,1.0246356118506303,Random Forest,1.0,Persistence,-1.9793746953554645
Gujarat,Vadodara,486,Random Forest,1.0,XGBoost,0.6544956737495419,Persistence,-1.2917603834057747
Gujarat,Valsad,486,Random Forest,1.0,XGBoost,0.4840382959771094,Persistence,-0.5907587854422602
Haryana,AMBALA,368,XGBoost,0.3180343331405366,Random Forest,0.0,Persistence,-0.0178757363532324
Haryana,Charkhi Dadri,146,Random Forest,1.0,XGBoost,0.7103144284890117,Persistence,-0.066605872625256
Haryana,FATEHABAD,367,XGBoost,0.6950307709583472,Random Forest,0.0,Persistence,-10.69350379519673
Haryana,GURUGRAM,146,XGBoost,0.5431344427520878,Random Forest,0.0,Persistence,-0.6112311527658683
Haryana,HISAR,297,XGBoost,0.2141507669856417,Random Forest,0.0,Persistence,-0.500121432953371
Haryana,JHAJJAR,369,XGBoost,0.5064809118823672,Random Forest,0.0,Persistence,-0.2380846828873593
Haryana,JIND,361,XGBoost,0.1038171739003439,Random Forest,0.0,Persistence,-0.0742046812873322
Haryana,KAITHAL,369,Random Forest,1.0,XGBoost,0.9192361679519035,Persistence,-0.0165761205430765
Haryana,KURUKSHETRA,486,Random Forest,1.0,XGBoost,0.0289418221328364,Persistence,-1.0893026269320036
Haryana,PANIPAT,368,XGBoost,0.7559925439070622,Random Forest,0.0,Persistence,-0.1644558221828134
Haryana,Palwal,304,XGBoost,0.1786022314026001,Random Forest,0.0,Persistence,-0.3322488862060981
Haryana,REWARI,320,XGBoost,0.567134190146756,Random Forest,0.0,Persistence,-4.7152454928834056
Haryana,SIRSA,352,XGBoost,2.159619876189475,Random Forest,0.0,Persistence,-0.271754317330789
Haryana,SONIPAT,363,XGBoost,0.8988848113309537,Random Forest,0.0,Persistence,-0.1286053214545799
Haryana,YAMUNANAGAR,369,XGBoost,0.3839954942888521,Random Forest,0.0,Persistence,-0.4209115620689996
Himachal Pradesh,BILASPUR,486,XGBoost,1.469703263300758,Random Forest,0.0,Persistence,-0.24397569206309
Himachal Pradesh,KANGRA,486,XGBoost,1.407615968761904,Random Forest,0.0,Persistence,-0.0036904520165639
Himachal Pradesh,KULLU,258,XGBoost,0.6464988553043552,Random Forest,0.0,Persistence,-1.0442520403951925
Himachal Pradesh,SIRMAUR,486,XGBoost,1.0526738744365336,Random Forest,1.0,Persistence,-1.5039070198041466
Himachal Pradesh,UNA,486,XGBoost,1.2248761110893398,Random Forest,0.0,Persistence,-1.908205449940252
Jammu & Kashmir,Ganderbal,367,XGBoost,0.9656088736728388,Random Forest,0.0,Persistence,-3.092698176308
Jammu & Kashmir,JAMMU,486,XGBoost,0.0445485407388889,Random Forest,0.0,Persistence,-3.3023003998700693
Jammu & Kashmir,KATHUA,481,XGBoost,0.7724162799362213,Random Forest,0.0,Persistence,-0.4235609725506599
Jammu & Kashmir,PUNCH,486,XGBoost,0.9097661834473668,Random Forest,0.0,Persistence,-0.6610211091894251
Jammu & Kashmir,RAJAURI,486,XGBoost,17.29974798148366,Random Forest,0.0,Persistence,-0.431155612069322
