state,district,agency,rows,train_rows,test_rows,regime_valid,regime_class_count,regime_eval_note,split_ratio,Regime Coverage,Regime Majority Share,gwl_min,gwl_max,gwl_range,IF__anomaly_count,IF__total_count,IF__anomaly_density,IF__mean_score,IF__min_score,Persistence__RMSE,Persistence__MAE,Persistence__MAPE,Persistence__R2,Persistence__mNSE,Persistence__NRMSE,Persistence__PBIAS,Persistence__Pearson r,Persistence__Bias,Persistence__KGE,Persistence__Alpha,Persistence__Beta,Persistence__Regime Accuracy,Persistence__Regime Acc Low,Persistence__Regime Acc Moderate,Persistence__Regime Acc High,Random Forest__RMSE,Random Forest__MAE,Random Forest__MAPE,Random Forest__R2,Random Forest__mNSE,Random Forest__NRMSE,Random Forest__PBIAS,Random Forest__Pearson r,Random Forest__Bias,Random Forest__KGE,Random Forest__Alpha,Random Forest__Beta,Random Forest__Regime Accuracy,Random Forest__Regime Acc Low,Random Forest__Regime Acc Moderate,Random Forest__Regime Acc High,XGBoost__RMSE,XGBoost__MAE,XGBoost__MAPE,XGBoost__R2,XGBoost__mNSE,XGBoost__NRMSE,XGBoost__PBIAS,XGBoost__Pearson r,XGBoost__Bias,XGBoost__KGE,XGBoost__Alpha,XGBoost__Beta,XGBoost__Regime Accuracy,XGBoost__Regime Acc Low,XGBoost__Regime Acc Moderate,XGBoost__Regime Acc High,Persistence_cm__Actual Low__Pred Low,Persistence_cm__Actual Low__Pred Moderate,Persistence_cm__Actual Low__Pred High,Persistence_cm__Actual Moderate__Pred Low,Persistence_cm__Actual Moderate__Pred Moderate,Persistence_cm__Actual Moderate__Pred High,Persistence_cm__Actual High__Pred Low,Persistence_cm__Actual High__Pred Moderate,Persistence_cm__Actual High__Pred High,Random Forest_cm__Actual Low__Pred Low,Random Forest_cm__Actual Low__Pred Moderate,Random Forest_cm__Actual Low__Pred High,Random Forest_cm__Actual Moderate__Pred Low,Random Forest_cm__Actual Moderate__Pred Moderate,Random Forest_cm__Actual Moderate__Pred High,Random Forest_cm__Actual High__Pred Low,Random Forest_cm__Actual High__Pred Moderate,Random Forest_cm__Actual High__Pred High,XGBoost_cm__Actual Low__Pred Low,XGBoost_cm__Actual Low__Pred Moderate,XGBoost_cm__Actual Low__Pred High,XGBoost_cm__Actual Moderate__Pred Low,XGBoost_cm__Actual Moderate__Pred Moderate,XGBoost_cm__Actual Moderate__Pred High,XGBoost_cm__Actual High__Pred Low,XGBoost_cm__Actual High__Pred Moderate,XGBoost_cm__Actual High__Pred High,Persistence__gwl_min,Persistence__gwl_max,Persistence__gwl_range,Persistence__Regime Coverage,Persistence__Regime Majority Share,Persistence__Regime Valid,Persistence__Regime Weight,SHAP__Random Forest__lag_1,SHAP__Random Forest__lag_3,SHAP__Random Forest__lag_7,SHAP__Random Forest__lag_14,SHAP__Random Forest__rolling_7,SHAP__Random Forest__rolling_14,SHAP__Random Forest__rolling_7_std,SHAP__Random Forest__rolling_14_std,SHAP__Random Forest__diff_1,SHAP__Random Forest__diff_7,SHAP__Random Forest__month,SHAP__Random Forest__dayofyear,SHAP__Random Forest__weekday,SHAP__Random Forest__is_monsoon,SHAP__Random Forest__top1_feature,SHAP__Random Forest__top1_value,SHAP__Random Forest__top2_feature,SHAP__Random Forest__top2_value,SHAP__Random Forest__top3_feature,SHAP__Random Forest__top3_value,SHAP__XGBoost__lag_1,SHAP__XGBoost__lag_3,SHAP__XGBoost__lag_7,SHAP__XGBoost__lag_14,SHAP__XGBoost__rolling_7,SHAP__XGBoost__rolling_14,SHAP__XGBoost__rolling_7_std,SHAP__XGBoost__rolling_14_std,SHAP__XGBoost__diff_1,SHAP__XGBoost__diff_7,SHAP__XGBoost__month,SHAP__XGBoost__dayofyear,SHAP__XGBoost__weekday,SHAP__XGBoost__is_monsoon,SHAP__XGBoost__top1_feature,SHAP__XGBoost__top1_value,SHAP__XGBoost__top2_feature,SHAP__XGBoost__top2_value,SHAP__XGBoost__top3_feature,SHAP__XGBoost__top3_value,Random Forest__gwl_min,Random Forest__gwl_max,Random Forest__gwl_range,Random Forest__Regime Coverage,Random Forest__Regime Majority Share,Random Forest__Regime Valid,Random Forest__Regime Weight,XGBoost__gwl_min,XGBoost__gwl_max,XGBoost__gwl_range,XGBoost__Regime Coverage,XGBoost__Regime Majority Share,XGBoost__Regime Valid,XGBoost__Regime Weight
Andhra Pradesh,ALLURI SITHARAMA RAJU,CGWB,486,388,98,False,1,Regime accuracy shown but only 1 class(es) present in test set — exclude from cross-district regime comparison.,0.8,0.3333333333333333,1.0,-36.33,-29.92,6.409999999999997,114.0,486.0,0.2345679012345679,0.0810948870876774,-0.0669461460341417,4.179590351960832,3.647755102040816,10.515692477174609,-3.1874052847252186,-1.0442161231067986,0.6520421765929539,35735999999.99999,,3.6465306122448977,,,,1.0,1.0,,,4.289533389335852,3.770208528101707,10.88032309549998,-3.4105999294924425,-1.1128394985475714,0.6691939764954531,36948043575.396736,-0.0567586212921134,3.770208528101707,-0.4428133660459594,0.0240974682480289,0.8878132178652206,1.0,1.0,,,4.312067273024357,3.7897652357451768,10.936753486309076,-3.4570613929570664,-1.1237991534480058,0.6727094029679187,37139699310.302734,-0.2733316622659173,3.7897652357451768,-0.6076581758244088,0.0250771798076624,0.8872312861011504,1.0,1.0,,,98,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,-36.33,-29.92,6.409999999999997,0.3333333333333333,1.0,0.0,0.0,2.7169709388937475,3.023807423003084,1.9422499617994085,1.2485812998121026,2.8936961615521666,2.625798507155199,0.0147547764465817,0.0037044596831915,0.0123681246033026,0.0118920038268605,0.0437164421497325,0.24406973926226,0.0040092417709497,0.0456326737011263,lag_3,3.023807423003084,rolling_7,2.8936961615521666,lag_1,2.7169709388937475,8.891790390014648,2.6900794506073,0.7256281971931458,0.5728881359100342,1.1210849285125732,0.2433386296033859,0.0080455811694264,0.0139377601444721,0.0435533374547958,0.0304972883313894,0.0092208590358495,0.0434430316090583,0.0011741219786927,0.0,lag_1,8.891790390014648,lag_3,2.6900794506073,rolling_7,1.1210849285125732,-36.33,-29.92,6.409999999999997,0.3333333333333333,1.0,0.0,0.0,-36.33,-29.92,6.409999999999997,0.3333333333333333,1.0,0.0,0.0
Andhra Pradesh,ANAKAPALLE,CGWB,486,388,98,False,1,Regime accuracy shown but only 1 class(es) present in test set — exclude from cross-district regime comparison.,0.8,0.3333333333333333,1.0,-3.873,-2.955,0.918,20.0,486.0,0.0411522633744856,0.0935343047011266,-0.0875924658276291,0.3855041358734173,0.2798061224489797,7.874673044005609,-0.9286122571699836,-0.183623257219321,0.4199391458316092,2621500000.000001,,0.2675,,,,1.0,,1.0,,0.2872223684060161,0.2338933699519499,6.720435725031278,-0.0705904306098927,0.0105948005658439,0.3128783969564446,2257273048.8095336,0.9333695791124064,0.2303339845724013,0.4220293366164729,0.4301093192281705,0.930465212204558,0.9285714285714286,,0.9285714285714286,,0.1167416673114628,0.0999931260517665,3.0023920802506634,0.8231363341535289,0.5770135816863158,0.1271695722347089,422556328.7734988,0.9597024769381618,0.0431179927319896,0.7648548528175306,1.2313004842889532,0.9869832474771352,1.0,,1.0,,0,0,0,0,98,0,0,0,0,0,0,0,0,91,7,0,0,0,0,0,0,0,98,0,0,0,0,-3.873,-2.955,0.918,0.3333333333333333,1.0,0.0,0.0,1.0460097091322809,0.0079857467896231,0.0021270567532302,0.1228425406400825,0.7316449009762878,1.6752172135876129,0.0068641354012131,0.0120506256903888,0.0101589981767553,0.0669157498700065,0.086693320396775,0.1998735837901991,0.0012778561888138,0.0178575620172807,rolling_14,1.6752172135876129,lag_1,1.0460097091322809,rolling_7,0.7316449009762878,0.2415985018014907,0.0437126159667968,0.006149991415441,0.1381392925977707,2.496138334274292,0.8664802312850952,0.0082085356116294,0.00351293082349,0.0194443669170141,0.0772690176963806,0.1080140992999076,0.2218267023563385,0.0038739510346204,0.0031645211856812,rolling_7,2.496138334274292,rolling_14,0.8664802312850952,lag_1,0.2415985018014907,-3.873,-2.955,0.918,0.3333333333333333,1.0,0.0,0.0,-3.873,-2.955,0.918,0.3333333333333333,1.0,0.0,0.0
Andhra Pradesh,ANANTAPUR,CGWB,486,388,98,False,1,Regime accuracy shown but only 1 class(es) present in test set — exclude from cross-district regime comparison.,0.8,0.3333333333333333,1.0,-8.29,4.26,12.55,118.0,486.0,0.242798353909465,0.0787064726867214,-0.1326930564763205,7.953906689963937,6.667040816326532,442.5747749292172,-2.3624217153844778,-0.7523947199026133,0.6337774254951345,-65337000000.000015,,-6.667040816326532,,,,1.0,,,1.0,8.388023898593561,7.176310868156785,470.6185184484678,-2.7394739869124125,-0.8862535298931589,0.6683684381349452,-70327846507.9365,-0.295499706729225,-7.176310868156785,-3.6635958005964726,0.003958182093027,5.367917924845443,1.0,,,1.0,8.269655133839448,7.040515366768351,462.386310813642,-2.634678446079988,-0.8505604351341054,0.6589366640509521,-68997050594.32983,0.0024914725746837,-7.040515366768351,-3.508598851892065,0.0156500378845925,5.285264927292082,1.0,,,1.0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,98,-8.29,4.26,12.55,0.3333333333333333,1.0,0.0,0.0,2.568879235467202,0.1839595469363739,0.1988739285660737,0.1929269908233734,0.2901077637909313,0.2227990372793129,0.0033979610992476,0.0202541699227441,0.0115952083791834,0.0283770859729624,0.0024222605394878,0.0897443849194546,0.0014832867919447,0.0002398093862931,lag_1,2.568879235467202,rolling_7,0.2901077637909313,rolling_14,0.2227990372793129,2.420276165008545,0.7744109630584717,0.2387709319591522,0.1354156732559204,0.2041794955730438,0.0460367463529109,0.0455382615327835,0.0136218443512916,0.0406318120658397,0.0261883288621902,0.0006749927997589,0.0133309038355946,0.0011853039031848,0.0001897228794405,lag_1,2.420276165008545,lag_3,0.7744109630584717,lag_7,0.2387709319591522,-8.29,4.26,12.55,0.3333333333333333,1.0,0.0,0.0,-8.29,4.26,12.55,0.3333333333333333,1.0,0.0,0.0
Andhra Pradesh,ANANTHAPURAMU,CGWB,486,388,98,False,2,Regime accuracy shown but only 2 class(es) present in test set — exclude from cross-district regime comparison.,0.8,0.6666666666666666,0.8775510204081632,-7.54,-3.66,3.88,102.0,486.0,0.2098765432098765,0.0745334981475728,-0.0820367013723547,1.8806213693069311,1.614081632653061,28.235376589082616,-2.79691168716796,-0.984895900023048,0.4846962292028173,15817999999.999998,,1.614081632653061,,,,0.8775510204081632,0.0,1.0,,0.472487055125189,0.3654313260029851,7.032673642657686,0.7603333576081106,0.5506155785125523,0.1217750142075229,2429882005.4112763,0.9219058616364691,0.2479471434093139,0.8816698418309346,1.075453083242839,0.9529876174319686,0.9591836734693876,0.6666666666666666,1.0,,0.3719338196118883,0.2980865398718386,5.864375013903013,0.8514888356647455,0.6334319535802275,0.0958592318587341,1686782871.246338,0.9468598495884192,0.1721207011475855,0.9120856001592996,1.0619678136653323,0.967364801469521,0.979591836734694,0.8333333333333334,1.0,,0,12,0,0,86,0,0,0,0,8,4,0,0,86,0,0,0,0,10,2,0,0,86,0,0,0,0,-7.54,-3.66,3.88,0.6666666666666666,0.8775510204081632,0.0,0.0,0.4897726664383151,0.026412802419965,0.0259006860839375,0.0069091167008691,0.2249540165813379,0.3791047232252339,0.0126735516953496,0.0108373566667822,0.0670151407954524,0.0503688408715576,0.0824785209588566,0.0840815334560021,0.0007007952111837,0.0080522517385842,lag_1,0.4897726664383151,rolling_14,0.3791047232252339,rolling_7,0.2249540165813379,0.8220922350883484,0.0301392301917076,0.0466391146183013,0.0041940524242818,0.0867673978209495,0.2176328599452972,0.019992034882307,0.0215736851096153,0.1323229819536209,0.0605997219681739,0.0791654661297798,0.0369474329054355,0.0021454391535371,0.0167312603443861,lag_1,0.8220922350883484,rolling_14,0.2176328599452972,diff_1,0.1323229819536209,-7.54,-3.66,3.88,0.6666666666666666,0.8775510204081632,0.0,0.0,-7.54,-3.66,3.88,0.6666666666666666,0.8775510204081632,0.0,0.0
Andhra Pradesh,ANNAMAYYA,CGWB,486,388,98,False,2,Regime accuracy shown but only 2 class(es) present in test set — exclude from cross-district regime comparison.,0.8,0.6666666666666666,0.8775510204081632,-14.225,4.4,18.625,100.0,486.0,0.205761316872428,0.0367497226900029,-0.0831929837414671,17.06356063130926,15.940540816326529,403.121261336054,-6.681081926523832,-2.755379233489614,0.9161643291978128,-856.9361795653725,,-15.914091836734691,-7.685272683388222,,,0.1224489795918367,1.0,,0.0,0.7143711710859727,0.5159498540702022,12.429277002045346,0.9865373387726448,0.8784490821344826,0.0383554991187099,-26.377139448677543,0.996542426468544,-0.4898477034655173,0.7355506623011647,0.9813949242106088,0.7362286055132244,0.9897959183673468,1.0,,0.9883720930232558,0.5298160461393759,0.2550354659070774,5.882232466486389,0.9925948596860578,0.9399170389821504,0.0284464991215772,3.181143894854239,0.9964386872410544,0.0590767635861221,0.9633670168883356,0.9821863856807322,1.0318114389485422,0.9897959183673468,1.0,,0.9883720930232558,12,0,0,0,0,0,86,0,0,12,0,0,0,0,0,0,1,85,12,0,0,0,0,0,0,1,85,-14.225,4.4,18.625,0.6666666666666666,0.8775510204081632,0.0,0.0,6.87443910704137,0.007155454068958,0.0582828366756279,0.0135065256712494,1.5320334973746563,0.014759193865557,0.0163080995618659,0.0317636752161084,2.464141408828032,1.6799555888104496,0.0032323435759816,0.1382529885541916,0.0179456830236554,0.0388845048437524,lag_1,6.87443910704137,diff_1,2.464141408828032,diff_7,1.6799555888104496,6.395983695983887,0.0441188663244247,0.8838767409324646,0.0343069322407245,1.1430505514144895,0.1577632129192352,0.0348954088985919,0.0136984670534729,1.908405423164368,1.009843111038208,0.0025268234312534,0.0724255815148353,0.0087379124015569,0.0003900663577951,lag_1,6.395983695983887,diff_1,1.908405423164368,rolling_7,1.1430505514144895,-14.225,4.4,18.625,0.6666666666666666,0.8775510204081632,0.0,0.0,-14.225,4.4,18.625,0.6666666666666666,0.8775510204081632,0.0,0.0
Andhra Pradesh,BAPATLA,CGWB,486,388,98,False,1,Regime accuracy shown but only 1 class(es) present in test set — exclude from cross-district regime comparison.,0.8,0.3333333333333333,1.0,-7.18,-4.98,2.2,90.0,486.0,0.1851851851851851,0.1130936685049523,-0.1157239308154359,1.1846057640947598,0.9878571428571424,15.561869537422032,-2.283096252988619,-0.8063974410235906,0.5384571654976182,9680999999.999998,,0.9878571428571424,,,,1.0,,,1.0,0.8648127121337438,0.7814191172782203,12.832055817737825,-0.7497663570559128,-0.4289044767502581,0.39309668733352,7657907349.32656,0.8240817404436793,0.7814191172782203,0.7293435701104398,0.8413717672387526,0.8690620270269891,1.0,,,1.0,0.6613713779815829,0.5774275186110516,9.499128260079043,-0.0233559633857212,-0.0558850533578074,0.3006233536279923,2696719846.725464,0.8818203655236693,0.2751754945638228,0.3164897881504324,1.6716350859341893,0.95389040186842,1.0,,,1.0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,98,-7.18,-4.98,2.2,0.3333333333333333,1.0,0.0,0.0,0.9244526954501852,0.0937213064770887,0.018023611271174,0.0130488769227934,1.1024783674852987,0.115715167265178,0.0323172605373271,0.0594713678089025,0.0027424591669857,0.0030486559148641,0.0234141846638192,0.0074906165137652,0.000324667432474,0.0001313569514252,rolling_7,1.1024783674852987,lag_1,0.9244526954501852,rolling_14,0.115715167265178,1.5206888914108276,0.2239061594009399,0.0266553219407796,0.0198358502238988,0.1978811770677566,0.0401040129363536,0.1054184958338737,0.0178325474262237,0.0064462898299098,0.0077557344920933,0.0758481249213218,0.0112997405230999,0.0003229884896427,0.0004445574304554,lag_1,1.5206888914108276,lag_3,0.2239061594009399,rolling_7,0.1978811770677566,-7.18,-4.98,2.2,0.3333333333333333,1.0,0.0,0.0,-7.18,-4.98,2.2,0.3333333333333333,1.0,0.0,0.0
Andhra Pradesh,CHITTOOR,CGWB,486,388,98,False,2,Regime accuracy shown but only 2 class(es) present in test set — exclude from cross-district regime comparison.,0.8,0.6666666666666666,0.5204081632653061,-79.321,-50.92,28.401,38.0,486.0,0.0781893004115226,0.0765766132449118,-0.1013570774379301,20.16094922550696,18.4460612244898,25.868384624441926,-5.139316413007913,-1.789813365494081,0.7098675830254906,180771400000.00003,,18.4460612244898,,,,0.5204081632653061,0.0,1.0,,4.181451972046081,3.360356765055304,5.216602804175633,0.7359097966671382,0.4917739835139769,0.1472290402466843,29447076005.478493,0.9620736492156376,3.004803674028418,0.7984952661090438,1.192946604295989,0.9559845755752192,0.9081632653061223,0.8297872340425532,0.9803921568627452,,3.955455581130552,2.3935446964186067,3.8121873777023,0.7636851089644964,0.6379962690294715,0.1392717010362505,18122015673.82812,0.9494233096478094,1.8491852728396043,0.7505117407265033,1.2428016809220954,0.972912481661416,0.9489795918367347,0.9361702127659576,0.9607843137254902,,0,47,0,0,51,0,0,0,0,39,8,0,1,50,0,0,0,0,44,3,0,2,49,0,0,0,0,-79.321,-50.92,28.401,0.6666666666666666,0.5204081632653061,0.0,0.0,14.806535301880922,0.8880895515602015,0.1528241848349378,0.186813587297864,1.9161967750744904,0.1710649821385677,0.0734815611155464,0.0418624008433238,0.1192747864656026,0.2093943790465166,0.6745540096138369,0.4581788104646789,0.0676890085312748,0.0042002489675051,lag_1,14.806535301880922,rolling_7,1.9161967750744904,lag_3,0.8880895515602015,13.403695106506348,2.7592008113861084,0.09430643171072,0.072464607656002,1.5533448457717896,0.0836420282721519,0.161783292889595,0.2172684967517852,0.2247885465621948,0.4010240733623504,0.023174911737442,0.6642132997512817,0.009766892530024,0.001871739514172,lag_1,13.403695106506348,lag_3,2.7592008113861084,rolling_7,1.5533448457717896,-79.321,-50.92,28.401,0.6666666666666666,0.5204081632653061,0.0,0.0,-79.321,-50.92,28.401,0.6666666666666666,0.5204081632653061,0.0,0.0
Andhra Pradesh,CUDDAPAH,CGWB,486,388,98,False,2,Regime accuracy shown but only 2 class(es) present in test set — exclude from cross-district regime comparison.,0.8,0.6666666666666666,0.9081632653061223,-7.676,-1.889,5.787,103.0,486.0,0.2119341563786008,0.0747858372063168,-0.1510147705531029,2.7561135643495964,2.157285714285714,44.83401728800725,-1.5817261227956632,-0.5380069797073013,0.4762594719802309,21141400000.0,,2.157285714285714,,,,0.9081632653061223,0.0,1.0,,2.2916642903544497,1.8347633499352125,38.73028604554584,-0.7849166757942239,-0.3080691257652173,0.3960021237868411,17980680829.365086,0.9379337831218576,1.8347633499352125,0.0901551133318065,0.2164737111104092,0.5416856350302792,0.9081632653061223,0.0,1.0,,0.8973554802182963,0.684355136345844,15.214848000217982,0.7263187838980267,0.5120984812867262,0.1550640193914457,6679390737.724305,0.9567056971986804,0.6815704834412556,0.7187812565847613,0.780401322467077,0.8297472296296332,0.9081632653061223,0.0,1.0,,0,9,0,0,89,0,0,0,0,0,9,0,0,89,0,0,0,0,0,9,0,0,89,0,0,0,0,-7.676,-1.889,5.787,0.6666666666666666,0.9081632653061223,0.0,0.0,0.3805534281734433,1.101825165942858,0.0517050084190025,0.002430361608145,0.5431712043242632,1.0655244513150988,0.0263652332165077,0.011463147887415,0.0170510834896257,0.0034760897364735,4.493135594093317e-05,0.2916184692874844,0.0001224659359498,0.0002438688050121,lag_3,1.101825165942858,rolling_14,1.0655244513150988,rolling_7,0.5431712043242632,1.4277979135513306,0.625984787940979,0.0037156774196773,0.0549807846546173,0.0130453985184431,0.0047819563187658,0.2843472063541412,0.0390402190387249,0.03204832598567,0.0115538788959383,0.000121781406051,0.101894624531269,0.0006096917786635,0.0,lag_1,1.4277979135513306,lag_3,0.625984787940979,rolling_7_std,0.2843472063541412,-7.676,-1.889,5.787,0.6666666666666666,0.9081632653061223,0.0,0.0,-7.676,-1.889,5.787,0.6666666666666666,0.9081632653061223,0.0,0.0
Andhra Pradesh,EAST GODAVARI,CGWB,486,388,98,False,1,Regime accuracy shown but only 1 class(es) present in test set — exclude from cross-district regime comparison.,0.8,0.3333333333333333,1.0,-11.73,-10.1,1.6300000000000008,112.0,486.0,0.2304526748971193,0.0413254919054266,-0.0750455765895011,0.7853944154086541,0.6594897959183669,6.007929474312116,-2.3907901076538565,-0.848587089129252,0.4818370646678857,6462999999.999996,,0.6594897959183669,,,,1.0,1.0,,,0.6431470292617584,0.4971762899109691,4.4989511618651,-1.2737663010367664,-0.3936131783066503,0.3945687296084405,4827609492.979351,0.4689776217464504,0.4926132135693215,-0.0725424592222578,0.0692740969205065,0.9540450876909372,1.0,1.0,,,0.6564894998830657,0.5105927397280323,4.622588837799296,-1.3690861739364375,-0.4312202437491663,0.4027542944067885,4979272724.151611,0.3300728919195719,0.5080890534848583,-0.1332044964320862,0.0872549802112286,0.9526013771962988,1.0,1.0,,,98,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,-11.73,-10.1,1.6300000000000008,0.3333333333333333,1.0,0.0,0.0,1.5449379175542497,0.0465603842679245,0.0003537717281929,0.0009287204262562,0.0997736110830831,0.001989229645053,0.0010580852308226,0.0007196474758022,0.0218192953574079,0.0112830609724999,0.0002836763968155,0.0025837888267193,0.0015103738679567,3.811277935164881e-05,lag_1,1.5449379175542497,rolling_7,0.0997736110830831,lag_3,0.0465603842679245,1.3045833110809326,0.2180229276418686,0.0081051103770732,0.007795344106853,0.1164468824863433,0.0078584067523479,0.0026826024986803,0.0031784686725586,0.03227049857378,0.0113241104409098,0.0021798980887979,0.0171767566353082,0.000342651939718,0.0004684900050051,lag_1,1.3045833110809326,lag_3,0.2180229276418686,rolling_7,0.1164468824863433,-11.73,-10.1,1.6300000000000008,0.3333333333333333,1.0,0.0,0.0,-11.73,-10.1,1.6300000000000008,0.3333333333333333,1.0,0.0,0.0
Andhra Pradesh,ELURU,CGWB,486,388,98,False,1,Regime accuracy shown but only 1 class(es) present in test set — exclude from cross-district regime comparison.,0.8,0.3333333333333333,1.0,-6.69,-4.38,2.3100000000000005,40.0,486.0,0.0823045267489712,0.076598415666941,-0.1281394646339804,1.3066333901774172,1.1466326530612243,19.747952869413908,-3.349515403200924,-1.2127190162353312,0.565642160249964,11236999999.999998,,1.1466326530612243,,,,1.0,,,1.0,1.12773007088171,1.018447629170716,17.70804716856868,-2.239990158388178,-0.9653534461010196,0.488194835879528,9980786765.873018,0.781643312448268,1.018447629170716,0.2669744992598,0.3250448813676289,0.8153859984486062,1.0,,,1.0,1.2737148913155332,1.1068365805489675,19.015208627638224,-3.133118161854422,-1.135922383779192,0.551391727842222,10846998489.379885,-0.0199909344878113,1.1068365805489675,-0.3804645435058198,0.0916796061391761,0.7993637332486196,1.0,,,1.0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,98,-6.69,-4.38,2.3100000000000005,0.3333333333333333,1.0,0.0,0.0,0.182384110737659,0.7616011111655833,0.3928772361201765,0.0146273993203814,0.5804216489427559,0.6059177073748796,0.0264166763879546,0.0351555891407087,0.0172585274044098,0.0054191682098608,0.0054980910418223,0.0116824588889828,0.0024525124961876,6.993146619195169e-05,lag_3,0.7616011111655833,rolling_14,0.6059177073748796,rolling_7,0.5804216489427559,2.028651475906372,0.4535345733165741,0.0311461817473173,0.0012450367212295,0.0076436582021415,0.0179857797920703,0.004886757582426,0.0134742781519889,0.0366837494075298,0.0233485009521245,0.0297754034399986,0.0426368117332458,0.001483975443989,8.143817831296474e-05,lag_1,2.028651475906372,lag_3,0.4535345733165741,dayofyear,0.0426368117332458,-6.69,-4.38,2.3100000000000005,0.3333333333333333,1.0,0.0,0.0,-6.69,-4.38,2.3100000000000005,0.3333333333333333,1.0,0.0,0.0
