,mean_abs_shap
lag_1,3.6788262728665355
rolling_7,0.749150422311845
diff_1,0.3771500420021928
rolling_14,0.28971805378300586
dayofyear,0.22834956542186788
diff_7,0.15833630729044632
lag_3,0.15360908574426632
lag_7,0.10472581823330479
lag_14,0.058628897903003796
rolling_14_std,0.03360710245050702
is_monsoon,0.026915304003033935
month,0.0267276939314263
rolling_7_std,0.02293847408292573
weekday,0.004620070582730373
