state,district,IF__anomaly_density,IF__anomaly_count,rows
Karnataka,Gadag,0.228395061728395,111.0,486
Karnataka,Hassan,0.1995884773662551,97.0,486
Karnataka,Haveri,0.2386831275720164,116.0,486
Karnataka,Kodagu,0.1213991769547325,59.0,486
Karnataka,Kolar,0.0411522633744856,20.0,486
Karnataka,Koppal,0.0432098765432098,21.0,486
Karnataka,Mandya,0.1748971193415638,85.0,486
Karnataka,Mysore,0.1687242798353909,82.0,486
Karnataka,Raichur,0.1831275720164609,89.0,486
Karnataka,Shivamogga,0.0576131687242798,28.0,486
Karnataka,Tumkur,0.1831275720164609,89.0,486
Karnataka,Udupi,0.2263374485596707,110.0,486
Karnataka,Uttara Kannada,0.102880658436214,50.0,486
Karnataka,Yadgir,0.2386831275720164,116.0,486
Kerala,Alappuzha,0.228395061728395,111.0,486
Kerala,ERNAKULAM,0.1296296296296296,63.0,486
Kerala,IDUKKI,0.0781893004115226,38.0,486
Kerala,KANNUR,0.2016460905349794,98.0,486
Kerala,KASARAGOD,0.0699588477366255,34.0,486
Kerala,KOTTAYAM,0.2304526748971193,112.0,486
Kerala,KOZHIKODE,0.0823045267489712,40.0,486
Kerala,Kollam,0.242798353909465,118.0,486
Kerala,MALAPPURAM,0.1810699588477366,88.0,486
Kerala,PALAKKAD,0.0699588477366255,34.0,486
Kerala,PATHANAMTHITTA,0.0534979423868312,26.0,486
Kerala,THIRUVANANTHAPURAM,0.0596707818930041,29.0,486
Kerala,THRISSUR,0.2201646090534979,107.0,486
Kerala,WAYANAD,0.242798353909465,118.0,486
Madhya Pradesh,AGAR MALWA,0.0493827160493827,24.0,486
Madhya Pradesh,ALIRAJPUR,0.1234567901234567,60.0,486
Madhya Pradesh,ANUPPUR,0.0761316872427983,37.0,486
Madhya Pradesh,ASHOK NAGAR,0.242798353909465,118.0,486
Madhya Pradesh,BALAGHAT,0.242798353909465,118.0,486
Madhya Pradesh,BARWANI,0.1543209876543209,75.0,486
Madhya Pradesh,BETUL,0.2139917695473251,104.0,486
Madhya Pradesh,BHIND,0.0411522633744856,20.0,486
Madhya Pradesh,BHOPAL,0.1831275720164609,89.0,486
Madhya Pradesh,CHHATARPUR,0.191358024691358,93.0,486
Madhya Pradesh,CHHINDWARA,0.0411522633744856,20.0,486
Madhya Pradesh,DAMOH,0.2366255144032922,115.0,486
Madhya Pradesh,DATIA,0.242798353909465,118.0,486
Madhya Pradesh,DEWAS,0.2407407407407407,117.0,486
Madhya Pradesh,DHAR,0.0432098765432098,21.0,486
Madhya Pradesh,DINDORI,0.1790123456790123,87.0,486
Madhya Pradesh,GUNA,0.242798353909465,118.0,486
Madhya Pradesh,GWALIOR,0.176954732510288,86.0,486
Madhya Pradesh,HARDA,0.2201646090534979,107.0,486
Madhya Pradesh,INDORE,0.242798353909465,118.0,486
Madhya Pradesh,JABALPUR,0.074074074074074,36.0,486
Madhya Pradesh,JHABUA,0.1193415637860082,58.0,486
Madhya Pradesh,KATNI,0.2201646090534979,107.0,486
Madhya Pradesh,Khandwa,0.2139917695473251,104.0,486
Madhya Pradesh,Khargone,0.2345679012345679,114.0,486
Madhya Pradesh,MANDLA,0.2222222222222222,108.0,486
Madhya Pradesh,MANDSAUR,0.2242798353909465,109.0,486
Madhya Pradesh,NARSIMHAPUR,0.2366255144032922,115.0,486
Madhya Pradesh,NEEMUCH,0.2037037037037037,99.0,486
Madhya Pradesh,PANNA,0.176954732510288,86.0,486
Madhya Pradesh,RAJGARH,0.2037037037037037,99.0,486
Madhya Pradesh,RATLAM,0.2325102880658436,113.0,486
Madhya Pradesh,REWA,0.1584362139917695,77.0,486
Madhya Pradesh,SAGAR,0.228395061728395,111.0,486
Madhya Pradesh,SATNA,0.2160493827160493,105.0,486
Madhya Pradesh,SEHORE,0.2222222222222222,108.0,486
Madhya Pradesh,SEONI,0.2160493827160493,105.0,486
Madhya Pradesh,SHAHDOL,0.1069958847736625,52.0,486
Madhya Pradesh,SHAJAPUR,0.0617283950617283,30.0,486
Madhya Pradesh,SHEOPUR,0.2386831275720164,116.0,486
Madhya Pradesh,SHIVPURI,0.0576131687242798,28.0,486
Madhya Pradesh,SIDHI,0.1790123456790123,87.0,486
Madhya Pradesh,SINGRAULI,0.1790123456790123,87.0,486
Madhya Pradesh,TIKAMGARH,0.242798353909465,118.0,486
Madhya Pradesh,UJJAIN,0.1111111111111111,54.0,486
Madhya Pradesh,VIDISHA,0.1625514403292181,79.0,486
Maharashtra,Ahmadnagar,0.1584362139917695,77.0,486
Maharashtra,Akola,0.2386831275720164,116.0,486
Maharashtra,Amravati,0.1502057613168724,73.0,486
Maharashtra,Aurangabad,0.2386831275720164,116.0,486
Maharashtra,Beed,0.2407407407407407,117.0,486
Maharashtra,Bhandara,0.1522633744855967,74.0,486
Maharashtra,Buldana,0.228395061728395,111.0,486
Maharashtra,Chandrapur,0.0576131687242798,28.0,486
Maharashtra,Dhule,0.2181069958847736,106.0,486
Maharashtra,Gadchiroli,0.0946502057613168,46.0,486
Maharashtra,Gondia,0.0637860082304526,31.0,486
Maharashtra,Jalgaon,0.1111111111111111,54.0,486
Maharashtra,Jalna,0.1748971193415638,85.0,486
Maharashtra,Kolhapur,0.2345679012345679,114.0,486
Maharashtra,Latur,0.0987654320987654,48.0,486
Maharashtra,Nagpur,0.1193415637860082,58.0,486
Maharashtra,Nanded,0.1954732510288065,95.0,486
Maharashtra,Nandurbar,0.1316872427983539,64.0,486
Maharashtra,Nashik,0.2366255144032922,115.0,486
Maharashtra,Parbhani,0.0925925925925925,45.0,486
Maharashtra,Pune,0.242798353909465,118.0,486
Maharashtra,Raigad,0.242798353909465,118.0,486
Maharashtra,Sindudurg,0.1831275720164609,89.0,486
Maharashtra,Solapur,0.242798353909465,118.0,486
Maharashtra,Thane,0.242798353909465,118.0,486
Maharashtra,Wardha,0.1584362139917695,77.0,486
Maharashtra,Washim,0.0411522633744856,20.0,486
Maharashtra,Yavatmal,0.242798353909465,118.0,486
Meghalaya,East Jaintia Hills,0.2181069958847736,106.0,486
Meghalaya,East Khasi Hills,0.0658436213991769,32.0,486
Meghalaya,North Garo Hills,0.242798353909465,118.0,486
Meghalaya,RI BHOI,0.242798353909465,118.0,486
Meghalaya,west Garo Hills,0.2016460905349794,98.0,486
Nagaland,DIMAPUR,0.1234567901234567,60.0,486
Odisha,ANUGUL,0.0411522633744856,20.0,486
Odisha,BALANGIR,0.074074074074074,36.0,486
Odisha,BARGARH,0.242798353909465,118.0,486
Odisha,Baleshwar,0.1790123456790123,87.0,486
Odisha,CUTTACK,0.0534979423868312,26.0,486
Odisha,DHENKANAL,0.1337448559670782,65.0,486
Odisha,GAJAPATI,0.1893004115226337,92.0,486
Odisha,GANJAM,0.242798353909465,118.0,486
Odisha,JHARSUGUDA,0.242798353909465,118.0,486
Odisha,KALAHANDI,0.0720164609053498,35.0,486
Odisha,KANDHAMAL,0.242798353909465,118.0,486
Odisha,KENDRAPARA,0.242798353909465,118.0,486
Odisha,KENDUJHAR,0.242798353909465,118.0,486
Odisha,KHORDHA,0.1851851851851851,90.0,486
Odisha,KORAPUT,0.1995884773662551,97.0,486
Odisha,MALKANGIRI,0.242798353909465,118.0,486
