state,n_districts,total_obs,Persistence__RMSE_mean,Persistence__RMSE_std,Persistence__RMSE_median,Persistence__RMSE_valid_count,Persistence__MAE_mean,Persistence__MAE_std,Persistence__MAE_median,Persistence__MAE_valid_count,Persistence__MAPE_mean,Persistence__MAPE_std,Persistence__MAPE_median,Persistence__MAPE_valid_count,Persistence__R2_mean,Persistence__R2_std,Persistence__R2_median,Persistence__R2_valid_count,Persistence__mNSE_mean,Persistence__mNSE_std,Persistence__mNSE_median,Persistence__mNSE_valid_count,Persistence__KGE_mean,Persistence__KGE_std,Persistence__KGE_median,Persistence__KGE_valid_count,Persistence__KGE_valid_pct,Persistence__PBIAS_mean,Persistence__PBIAS_std,Persistence__PBIAS_median,Persistence__PBIAS_valid_count,Persistence__Pearson r_mean,Persistence__Pearson r_std,Persistence__Pearson r_median,Persistence__Pearson r_valid_count,Persistence__Alpha_mean,Persistence__Alpha_std,Persistence__Alpha_median,Persistence__Alpha_valid_count,Persistence__Beta_mean,Persistence__Beta_std,Persistence__Beta_median,Persistence__Beta_valid_count,Persistence__NRMSE_mean,Persistence__NRMSE_std,Persistence__NRMSE_median,Persistence__NRMSE_valid_count,Random Forest__RMSE_mean,Random Forest__RMSE_std,Random Forest__RMSE_median,Random Forest__RMSE_valid_count,Random Forest__MAE_mean,Random Forest__MAE_std,Random Forest__MAE_median,Random Forest__MAE_valid_count,Random Forest__MAPE_mean,Random Forest__MAPE_std,Random Forest__MAPE_median,Random Forest__MAPE_valid_count,Random Forest__R2_mean,Random Forest__R2_std,Random Forest__R2_median,Random Forest__R2_valid_count,Random Forest__mNSE_mean,Random Forest__mNSE_std,Random Forest__mNSE_median,Random Forest__mNSE_valid_count,Random Forest__KGE_mean,Random Forest__KGE_std,Random Forest__KGE_median,Random Forest__KGE_valid_count,Random Forest__KGE_valid_pct,Random Forest__PBIAS_mean,Random Forest__PBIAS_std,Random Forest__PBIAS_median,Random Forest__PBIAS_valid_count,Random Forest__Pearson r_mean,Random Forest__Pearson r_std,Random Forest__Pearson r_median,Random Forest__Pearson r_valid_count,Random Forest__Alpha_mean,Random Forest__Alpha_std,Random Forest__Alpha_median,Random Forest__Alpha_valid_count,Random Forest__Beta_mean,Random Forest__Beta_std,Random Forest__Beta_median,Random Forest__Beta_valid_count,Random Forest__NRMSE_mean,Random Forest__NRMSE_std,Random Forest__NRMSE_median,Random Forest__NRMSE_valid_count,XGBoost__RMSE_mean,XGBoost__RMSE_std,XGBoost__RMSE_median,XGBoost__RMSE_valid_count,XGBoost__MAE_mean,XGBoost__MAE_std,XGBoost__MAE_median,XGBoost__MAE_valid_count,XGBoost__MAPE_mean,XGBoost__MAPE_std,XGBoost__MAPE_median,XGBoost__MAPE_valid_count,XGBoost__R2_mean,XGBoost__R2_std,XGBoost__R2_median,XGBoost__R2_valid_count,XGBoost__mNSE_mean,XGBoost__mNSE_std,XGBoost__mNSE_median,XGBoost__mNSE_valid_count,XGBoost__KGE_mean,XGBoost__KGE_std,XGBoost__KGE_median,XGBoost__KGE_valid_count,XGBoost__KGE_valid_pct,XGBoost__PBIAS_mean,XGBoost__PBIAS_std,XGBoost__PBIAS_median,XGBoost__PBIAS_valid_count,XGBoost__Pearson r_mean,XGBoost__Pearson r_std,XGBoost__Pearson r_median,XGBoost__Pearson r_valid_count,XGBoost__Alpha_mean,XGBoost__Alpha_std,XGBoost__Alpha_median,XGBoost__Alpha_valid_count,XGBoost__Beta_mean,XGBoost__Beta_std,XGBoost__Beta_median,XGBoost__Beta_valid_count,XGBoost__NRMSE_mean,XGBoost__NRMSE_std,XGBoost__NRMSE_median,XGBoost__NRMSE_valid_count
Himachal Pradesh,10,4396,2.248818,2.653346,1.173257,10,1.850329,2.325706,0.710684,10,18.273175,9.509982,20.241817,10,-1.263474,1.117783,-1.377136,10,-0.382768,0.361483,-0.426636,10,-0.428841,0.014749,-0.424946,10,100.0,-12.483019,16.193398,-9.589787,10,,,,0,,,,0,,,,0,0.433743,0.195413,0.305382,10,0.563451,0.434181,0.326356,10,0.402175,0.298107,0.274215,10,8.265821,8.02479,4.418878,10,0.260151,0.824806,0.688855,10,0.315988,0.456842,0.558653,10,0.681117,0.196112,0.677024,10,100.0,5.605439,9.348201,2.169226,10,0.890237,0.075802,0.892117,10,1.201536,0.264301,1.228519,10,1.056054,0.093482,1.021692,10,0.188506,0.105448,0.132557,10,0.56968,0.450583,0.304723,10,0.378572,0.280674,0.264141,10,8.222463,8.170579,4.434819,10,0.272855,0.758991,0.646109,10,0.313303,0.470969,0.507411,10,0.695442,0.212664,0.585794,10,100.0,4.099923,10.503611,-1.439351,10,0.866437,0.125256,0.913234,10,1.026466,0.301728,1.018257,10,1.040999,0.105036,0.985606,10,0.186679,0.101047,0.12377,10
Jammu & Kashmir,16,7278,3.306783,3.552873,1.611879,16,2.156195,2.432877,1.44552,16,140.490233,326.29863,9.000306,16,-1.35094,1.370231,-1.061748,16,-0.35889,0.534457,-0.309353,16,-0.544427,0.255919,-0.416668,12,75.0,1007152156.631815,2239962910.268171,-5.435325,16,,,,0,,,,0,,,,0,0.412954,0.14844,0.344821,16,1.541882,1.913256,1.029029,16,0.801143,0.602348,0.856373,16,9.198653,11.572245,4.81949,16,0.257784,0.70178,0.226776,16,0.30423,0.441408,0.455169,16,0.258605,0.777889,0.6021,16,100.0,-7968618.204559,739956240.399765,-3.846165,16,0.527714,0.647309,0.843524,16,0.690263,0.453984,0.934684,16,0.828279,0.425662,0.979234,16,0.204038,0.111776,0.19937,16,2.541928,2.579533,1.839913,16,1.543274,1.504205,1.30661,16,12.797569,12.228991,8.349211,16,0.535585,0.373703,0.557245,12,0.49506,0.214417,0.45281,12,0.16016,0.695639,0.592508,16,100.0,248527955.080673,569087470.597668,-4.645374,16,0.630955,0.489316,0.934517,16,0.824353,0.7492,0.598154,16,0.769596,0.410344,0.953546,16,0.425199,0.465114,0.155012,16
Jharkhand,18,8748,5.352931,8.113608,1.951314,18,4.171722,6.491377,1.777755,18,59.529121,122.807066,16.534881,18,-1.248175,1.429809,-0.482925,18,-0.376148,0.506277,-0.214003,18,,,,0,0.0,-19868833333.333336,70369175940.79576,4543700000.0,18,,,,0,,,,0,,,,0,0.420341,0.167927,0.38603,18,2.976942,3.279587,1.625761,18,2.292395,2.481215,1.23573,18,29.147183,42.498659,10.061155,18,0.432405,0.304013,0.530157,14,0.337765,0.174641,0.4069,14,0.343008,0.328494,0.444613,18,100.0,-11898898918.105944,27961713351.754807,-642202878.826766,18,0.725626,0.381048,0.895165,18,0.627221,0.380106,0.613419,18,1.069703,0.175399,1.001651,18,0.324235,0.212434,0.263898,18,2.728402,3.331159,1.407755,18,2.047975,2.51332,1.080332,18,27.259865,43.663543,11.868764,18,-0.01547,0.917152,0.405301,16,0.127787,0.513538,0.396318,16,0.452839,0.248086,0.424671,18,100.0,-11226360349.48561,27514491126.84561,2507723948.287964,18,0.773322,0.194729,0.846055,18,0.621187,0.312257,0.639471,18,1.0553,0.166035,0.992026,18,0.274863,0.101555,0.272529,18
Karnataka,54,26244,3.660345,4.443074,1.28162,54,3.153931,4.091683,0.972653,54,37.326195,73.317383,14.381687,54,-1.562627,1.151158,-1.324377,46,-0.499548,0.388899,-0.433487,46,-1.086746,0.869992,-0.530765,6,11.11,18516396283.0209,25716057026.822685,7174999999.999972,54,,,,0,,,,0,,,,0,0.506266,0.208838,0.48363,52,2.004539,2.938163,1.13122,54,1.605874,2.483871,0.896329,54,41.996994,101.802061,6.990993,54,0.439952,0.609939,0.633256,40,0.392039,0.376923,0.571324,40,0.42195,0.492845,0.580191,50,92.59,5657970492.059204,11801841225.126968,1977699145.382409,54,0.637888,0.465636,0.85255,52,0.602944,0.382109,0.59946,52,0.737786,0.942418,0.948134,52,0.29581,0.266101,0.155726,52,2.056939,3.573702,0.976934,54,1.647325,2.979206,0.764089,54,36.023946,77.357248,6.833376,54,0.52006,0.60859,0.742118,40,0.472092,0.33355,0.536525,40,0.444954,0.466016,0.594196,50,92.59,5763194735.875905,12417448621.145233,936109953.88031,54,0.661524,0.429817,0.907605,52,0.59416,0.355051,0.536946,52,0.745773,0.855301,0.965017,52,0.286505,0.27057,0.138642,52
Kerala,28,13608,1.341274,1.176908,0.881419,28,1.101728,0.950723,0.795306,28,44.76626,89.337543,10.03466,28,-1.368857,1.367564,-1.038587,24,-0.535847,0.445486,-0.549643,24,,,,0,0.0,2380635714.285712,11243613685.212418,2962000000.000002,28,,,,0,,,,0,,,,0,0.407843,0.16932,0.404602,28,0.896083,0.856728,0.649609,28,0.693593,0.756895,0.427307,28,26.544795,58.807227,5.594957,28,0.363297,0.619265,0.429892,20,0.372437,0.365206,0.509456,20,0.224826,0.623788,0.250764,28,100.0,2963791643.119807,8335523151.092082,2433043952.38085,28,0.505817,0.546543,0.72579,28,0.546209,0.322163,0.429251,28,0.997801,0.370623,0.953768,28,0.369687,0.354504,0.232835,28,0.95388,0.969031,0.4838,28,0.750625,0.850266,0.375994,28,28.381198,66.621284,6.475285,28,0.436606,0.538248,0.674058,18,0.407486,0.359486,0.513385,18,0.219466,0.608258,0.358164,28,100.0,2707952461.143903,9325530144.82254,2430325547.337532,28,0.50732,0.529415,0.734815,28,0.566192,0.307853,0.509793,28,1.016797,0.415876,0.939213,28,0.364138,0.309714,0.268318,28
Madhya Pradesh,92,44712,3.784399,5.77299,1.909036,92,2.857274,3.310351,1.525816,92,75.677845,267.255302,18.604457,92,-1.703813,1.055763,-1.782556,78,-0.610234,0.547889,-0.645912,78,,,,0,0.0,12627743478.26087,38832193772.75852,10618000000.000004,92,,,,0,,,,0,,,,0,0.507917,0.170555,0.504311,92,1.992584,3.243828,0.77458,92,1.433716,2.068194,0.59083,92,27.353908,114.563296,5.366823,92,0.350107,0.746425,0.655193,80,0.34813,0.425046,0.459392,80,0.520594,0.43146,0.725966,92,100.0,9304102857.95363,20966581816.786194,3641638367.724909,92,0.729094,0.368983,0.916102,92,0.696114,0.317261,0.765336,92,0.927729,0.090693,0.953905,92,0.250063,0.209108,0.162695,92,1.75428,2.70661,0.540416,92,1.246579,1.920206,0.381465,92,17.104146,49.443882,4.246579,92,0.568219,0.558893,0.825924,76,0.5104,0.375895,0.618247,76,0.541021,0.465616,0.792846,92,100.0,9469273655.395145,17910169231.47866,2716786771.774292,92,0.704603,0.406208,0.938727,92,0.735495,0.30483,0.818098,92,0.937323,0.091562,0.967399,92,0.23601,0.230875,0.120514,92
Maharashtra,56,27216,2.941583,4.077767,1.328172,56,2.46021,3.431661,1.067306,56,21.081667,37.818167,12.464639,56,-2.070306,1.209715,-1.974225,52,-0.710481,0.399721,-0.674888,52,-0.414214,0.0,-0.414214,2,3.57,20733149999.996944,34935087799.16668,7560200000.000027,56,,,,0,,,,0,,,,0,0.496328,0.182015,0.557609,56,1.353867,1.622757,0.704218,56,1.076526,1.298623,0.574449,56,9.251757,10.337316,6.330139,56,0.30331,0.633099,0.476875,44,0.277446,0.402,0.344286,44,0.357912,0.500791,0.561683,56,100.0,9174978713.660248,12984619573.363974,5137998243.915341,56,0.666505,0.465944,0.858172,56,0.535586,0.323544,0.587442,56,0.927518,0.095556,0.942904,56,0.343217,0.313617,0.231255,56,1.300508,1.621351,0.608921,56,1.010458,1.280664,0.489163,56,8.733234,11.006787,5.562842,56,0.381605,0.53861,0.516933,42,0.365277,0.324457,0.413051,42,0.308328,0.555077,0.513835,56,100.0,8230755004.901625,12289314956.931257,4194254269.409181,56,0.575667,0.496657,0.818216,56,0.510439,0.328682,0.545613,56,0.937119,0.09021,0.953968,56,0.311228,0.241115,0.209218,56
Meghalaya,10,4860,0.902039,1.170501,0.36847,10,0.777808,1.009549,0.343571,10,5.856987,2.657562,7.068716,10,-2.043409,1.141398,-2.895075,8,-0.712126,0.470711,-1.034107,8,,,,0,0.0,5910880000.0,10980749603.446938,2686899999.999993,10,,,,0,,,,0,,,,0,0.454759,0.131675,0.438577,10,0.320499,0.234624,0.319847,10,0.265079,0.198629,0.290029,10,3.593777,3.913808,1.970118,10,0.763272,0.12459,0.779654,6,0.518163,0.168571,0.458164,6,0.372253,0.519874,0.515497,10,100.0,2314226121.630235,2113563902.614783,2781638500.264557,10,0.619443,0.368362,0.829104,10,0.57104,0.443804,0.546644,10,0.9698,0.044053,0.99217,10,0.280465,0.215276,0.155018,10,0.332361,0.22774,0.36914,10,0.28151,0.204954,0.321976,10,3.965101,4.099304,2.851582,10,0.569152,0.38265,0.740108,6,0.432975,0.358308,0.598522,6,0.403084,0.483087,0.331951,10,100.0,2309993569.297791,2265686158.58266,2200958508.300782,10,0.527235,0.380654,0.451548,10,0.6652,0.325534,0.619644,10,0.968168,0.046915,0.989323,10,0.317616,0.227251,0.241227,10
Nagaland,2,972,0.244079,0.0,0.244079,2,0.148061,0.0,0.148061,2,1.488935,0.0,1.488935,2,-0.425649,0.0,-0.425649,2,0.143344,0.0,0.143344,2,,,,0,0.0,1306999999.999992,0.0,1306999999.999992,2,,,,0,,,,0,,,,0,0.246544,0.0,0.246544,2,0.238895,0.0,0.238895,2,0.142661,0.0,0.142661,2,1.4335,0.0,1.4335,2,-0.36573,0.0,-0.36573,2,0.174591,0.0,0.174591,2,-0.006616,0.0,-0.006616,2,100.0,1335382761.543952,0.0,1335382761.543952,2,0.623359,0.0,0.623359,2,0.066609,0.0,0.066609,2,0.985928,0.0,0.985928,2,0.241308,0.0,0.241308,2,0.251116,0.0,0.251116,2,0.158343,0.0,0.158343,2,1.594672,0.0,1.594672,2,-0.509037,0.0,-0.509037,2,0.083857,0.0,0.083857,2,-0.034475,0.0,-0.034475,2,100.0,1534826633.453368,0.0,1534826633.453368,2,0.527354,0.0,0.527354,2,0.079956,0.0,0.079956,2,0.983826,0.0,0.983826,2,0.253652,0.0,0.253652,2
Odisha,42,20412,1.986197,1.883632,1.070763,42,1.602139,1.464288,0.885276,42,20.042236,13.206006,19.406194,42,-1.652964,1.353871,-1.806226,36,-0.554461,0.454261,-0.514821,36,,,,0,0.0,10707299999.999998,17161880481.517895,6980999999.999997,42,,,,0,,,,0,,,,0,0.479725,0.140029,0.488492,42,1.619879,1.786255,0.783212,42,1.237327,1.35602,0.679426,42,14.071716,12.505138,9.722084,42,0.02549,0.745065,0.017277,30,0.192628,0.397191,0.223404,30,0.185187,0.534497,0.398496,42,100.0,6731032286.785233,16410166375.193928,5056011721.007704,42,0.491786,0.521825,0.705096,42,0.525363,0.389944,0.479738,42,0.896045,0.175732,0.937144,42,0.431354,0.386187,0.293009,42,1.702833,1.909431,0.78081,42,1.275142,1.47685,0.674043,42,14.836687,14.674379,9.466901,42,0.143028,0.803008,0.420639,28,0.289602,0.380973,0.288506,28,0.211705,0.522698,0.209375,40,95.24,5108979467.755273,18219305949.755764,5196438308.715821,42,0.524349,0.459169,0.65447,42,0.674365,0.851668,0.539789,42,0.938247,0.220638,0.957422,42,0.430686,0.332053,0.29211,42
Puducherry,4,1944,13.660626,8.282884,5.377742,4,7.918776,4.779796,3.13898,4,58.173483,7.041684,51.131799,4,-0.27062,0.143181,-0.413801,4,0.251438,0.002197,0.249241,4,,,,0,0.0,-50406000000.000015,21894000000.000004,-72300000000.00002,4,,,,0,,,,0,,,,0,0.476048,0.063886,0.412162,4,2.186226,0.507995,1.678231,4,1.232766,0.284118,0.948649,4,17.561686,13.891718,3.669968,4,0.819274,0.174132,0.645142,4,0.79162,0.152294,0.639326,4,0.560118,0.385686,0.174432,4,100.0,-2458754213.007333,10268526266.798775,-12727280479.806108,4,0.957543,0.03994,0.917603,4,0.78395,0.204577,0.579373,4,1.326337,0.379245,0.947093,4,0.151013,0.119491,0.031522,4,2.17129,1.002476,1.168815,4,1.264759,0.497489,0.76727,4,19.766105,16.763271,3.002833,4,0.752189,0.244612,0.507577,4,0.767811,0.186826,0.580985,4,0.539714,0.425026,0.114689,4,100.0,-4308289009.332656,9458373420.95375,-13766662430.286406,4,0.901736,0.097006,0.80473,4,0.800502,0.20444,0.596062,4,1.364157,0.399046,0.965111,4,0.170302,0.148349,0.021954,4
Punjab,36,13096,2.028733,2.325707,1.301787,36,1.030056,0.963585,0.775151,36,5.457187,4.932085,3.938564,36,-0.844129,0.886804,-0.283788,30,-0.286279,0.371541,-0.276249,30,-0.414788,0.000769,-0.414514,8,22.22,-897586087.778798,8612998918.729458,0.0,36,,,,0,,,,0,,,,0,0.374491,0.220503,0.264685,34,1.041145,1.63309,0.392566,36,0.561535,0.688828,0.321103,36,2.983788,2.848272,1.822869,36,0.582265,0.471569,0.756671,28,0.331327,0.399124,0.432832,28,0.679064,0.292033,0.805336,34,94.44,-1281552578.08714,2984005891.438541,-0.785403,36,0.792426,0.252804,0.871934,34,0.875503,0.254283,0.899219,34,1.016076,0.029474,1.003492,34,0.178368,0.168938,0.125285,34,2.413378,6.034866,0.384251,36,1.513681,3.859224,0.311975,36,4.929447,6.591696,2.155895,36,0.352475,0.891604,0.79509,26,0.223799,0.623582,0.55494,26,0.454211,0.681774,0.651135,34,94.44,-1538846793.553742,3852028907.578225,-24.662665,36,0.773813,0.231501,0.884526,34,1.091709,0.802311,0.884815,34,1.002189,0.076349,1.004846,34,0.227229,0.199522,0.132313,34
Rajasthan,56,25838,47.779153,204.594186,2.167521,56,27.074663,111.364835,1.968848,56,385.824977,1196.320988,10.397048,56,-1.630759,1.53205,-1.001672,54,-0.569863,0.629366,-0.218398,54,,,,0,0.0,-219536452720.2561,1095222663138.787,2863999999.999998,56,,,,0,,,,0,,,,0,0.466919,0.179825,0.499363,56,5.135311,12.024014,1.097129,56,3.16707,6.578624,0.760333,56,139.656072,465.20641,4.946227,56,0.303304,0.656362,0.693565,46,0.345839,0.438565,0.567953,46,0.351568,0.541621,0.539268,54,96.43,-4883435532.777385,45057200671.43528,-551.547765,56,0.601379,0.416785,0.805941,56,0.553428,0.388358,0.582131,56,0.791852,1.073603,0.99917,56,0.282694,0.252504,0.192814,56,5.325543,12.087001,1.041252,56,3.215109,6.58131,0.709133,56,141.645495,463.566101,4.553449,56,0.150578,0.782989,0.311103,48,0.276891,0.480445,0.297669,48,0.409865,0.504303,0.614255,54,96.43,-10662996020.393198,44559439621.18619,-149594037.914276,56,0.646678,0.390877,0.826356,56,0.633301,0.401667,0.783562,56,0.825473,1.081643,1.003852,56,0.295028,0.25216,0.189364,56
Tamil Nadu,76,36862,5.783244,12.09738,1.379767,76,4.787099,10.271684,1.109653,76,62.233883,147.654994,21.550784,76,-1.868809,1.207973,-1.773494,68,-0.624836,0.514708,-0.530156,68,-0.414214,0.0,-0.414214,2,2.63,31441963333.514187,105675601726.44931,7946000000.000004,76,,,,0,,,,0,,,,0,0.516254,0.161664,0.527875,74,1.758847,2.99385,0.573293,76,1.430933,2.570665,0.487308,76,18.837321,39.39335,5.504278,76,0.456253,0.743273,0.860693,64,0.42477,0.502006,0.70774,64,0.542285,0.48735,0.74226,70,92.11,2408574285.926943,28003031347.01571,275812057.671959,76,0.788607,0.373803,0.945836,74,0.813743,0.410556,0.861781,74,1.502702,2.232112,0.995761,74,0.233537,0.232842,0.113698,74,1.839272,3.29853,0.567869,76,1.489277,2.775458,0.42456,76,19.247352,39.365154,7.14788,76,0.495199,0.71806,0.77394,64,0.455875,0.478479,0.593052,64,0.553344,0.468671,0.729798,70,92.11,2235685633.550331,27637238224.59468,215372760.391236,76,0.790075,0.37007,0.933621,74,0.807575,0.362595,0.855052,74,1.606772,2.633322,0.997401,74,0.219498,0.209321,0.112009,74
Telangana,66,32076,2.706513,2.553696,2.052391,66,2.29968,2.18841,1.799082,66,52.362483,134.872584,21.266579,66,-1.770486,1.481825,-1.21249,62,-0.599136,0.506354,-0.51922,62,,,,0,0.0,4435199999.999999,26711683654.740093,7762000000.000002,66,,,,0,,,,0,,,,0,0.491908,0.177833,0.507744,66,1.561326,2.221568,0.871569,66,1.168712,1.688108,0.718931,66,35.22031,137.229297,7.298586,66,0.384601,0.567209,0.60788,62,0.344583,0.407013,0.414412,62,0.529095,0.502666,0.683409,66,100.0,4318574426.151426,19258727164.510864,3741500215.728725,66,0.771677,0.376243,0.901823,66,0.718982,0.36266,0.792796,66,0.984277,0.264564,0.957186,66,0.242702,0.181166,0.199296,66,1.596554,2.202575,0.820321,66,1.191311,1.676051,0.575122,66,35.158312,131.645437,5.548542,66,0.451511,0.570371,0.730333,60,0.414301,0.448485,0.552939,60,0.480426,0.510509,0.701114,66,100.0,3690626781.616789,19024162347.0036,2300747264.862061,66,0.752634,0.390181,0.932873,66,0.71106,0.407648,0.71705,66,0.994917,0.259724,0.961025,66,0.250045,0.235505,0.15122,66
Tripura,6,2916,0.538664,0.402487,0.40121,6,0.470639,0.357674,0.338367,6,4.02337,1.898496,5.23726,6,-2.200957,0.985675,-1.750272,6,-0.79101,0.259962,-0.793521,6,,,,0,0.0,4453599999.999998,3588868835.719683,2948000000.000003,6,,,,0,,,,0,,,,0,0.459988,0.173515,0.348748,6,0.29268,0.141094,0.300792,6,0.234516,0.099726,0.260841,6,2.733458,2.015164,1.426334,6,-0.285896,0.935254,-1.221151,4,-0.084152,0.511109,-0.595261,4,0.476199,0.215442,0.358174,6,100.0,2262468764.582326,966474835.738004,2556237536.411812,6,0.674496,0.244966,0.67313,6,0.762722,0.312061,0.780339,6,0.972842,0.020038,0.985557,6,0.294586,0.074564,0.31341,6,0.304844,0.083436,0.304623,6,0.253914,0.065499,0.252577,6,2.948606,1.766978,2.053356,6,-0.355802,0.996171,-1.351973,4,-0.005363,0.450475,-0.455838,4,0.158057,0.476329,0.204134,6,100.0,2462091711.934408,653872883.762791,2475254615.783692,6,0.342349,0.575507,0.466304,6,0.611498,0.141057,0.703991,6,0.970284,0.018176,0.980024,6,0.358945,0.144331,0.33101,6
Uttar Pradesh,72,34992,1.086652,1.447905,0.524462,72,0.780386,0.811933,0.442214,72,9.197554,11.210449,5.720814,72,-1.088446,1.149143,-0.784998,66,-0.351882,0.446652,-0.14999,66,,,,0,0.0,2222219444.444445,9128536357.17929,1568199999.999997,72,,,,0,,,,0,,,,0,0.403908,0.149534,0.36175,72,0.697347,1.106374,0.254523,72,0.449569,0.588078,0.195474,72,4.915559,7.391995,1.450754,72,0.492999,0.513381,0.690494,62,0.418079,0.398145,0.483536,62,0.590407,0.358245,0.705992,72,100.0,-315756215.666206,5955262838.802405,75908014.013769,72,0.79352,0.280021,0.905115,72,0.880672,0.395125,0.898725,72,1.000347,0.068532,0.999263,72,0.215949,0.1657,0.19775,72,0.693293,1.190351,0.185354,72,0.440298,0.640736,0.137213,72,5.056589,8.641633,1.525522,72,0.446391,0.641831,0.612427,68,0.409794,0.410434,0.372836,68,0.646357,0.330731,0.763732,72,100.0,-1236891269.063949,5999183296.922952,-160067150.115967,72,0.823107,0.24978,0.934566,72,0.797857,0.309375,0.860297,72,1.008788,0.064136,1.000408,72,0.189987,0.137756,0.158413,72
Uttarakhand,8,3224,6.009805,3.888314,6.500995,8,3.460396,2.317168,5.57,8,15.076749,14.646851,10.084608,8,-1.347326,1.427069,-0.329973,6,-0.175227,0.689533,0.331902,6,-0.436264,0.030062,-0.421516,6,75.0,1770246882.844748,3585030068.010967,-14.389899,8,,,,0,,,,0,,,,0,0.47957,0.11953,0.550889,8,1.965311,1.62346,1.624277,8,1.000763,0.591059,0.798583,8,6.93399,7.107721,1.771613,8,0.571552,0.298425,0.61838,8,0.437208,0.298032,0.268374,8,0.598375,0.306815,0.765424,8,100.0,648734029.436129,1313789059.380606,-2.05843,8,0.857489,0.20408,0.944958,8,0.875779,0.41742,0.868024,8,0.959396,0.046494,0.979416,8,0.15766,0.056631,0.14429,8,4.231929,3.644093,1.890215,8,2.215347,1.727833,1.665846,8,9.318418,5.829383,8.733613,8,0.211132,0.155331,0.218817,8,0.230162,0.147092,0.144562,8,0.368302,0.270078,0.543279,8,100.0,715464636.702077,1448929105.303359,-11.963729,8,0.858382,0.182291,0.940232,8,0.682005,0.555326,0.762853,8,0.925981,0.060939,0.880363,8,0.270854,0.094555,0.238956,8
West Bengal,32,15552,1.945423,1.804928,1.308914,32,1.571614,1.5926,0.935408,32,13.721148,7.158859,13.736473,32,-2.090226,1.318307,-1.774094,30,-0.615458,0.549985,-0.561367,30,,,,0,0.0,11045912500.0,17786479489.20313,6832000000.000002,32,,,,0,,,,0,,,,0,0.535353,0.109254,0.534393,32,0.936114,0.952545,0.647256,32,0.72848,0.762893,0.496041,32,6.673663,5.827972,4.66456,32,0.4962,0.527539,0.69953,28,0.434857,0.370856,0.538724,28,0.513575,0.551045,0.720086,32,100.0,4274658847.458939,8020531806.695607,1494426247.991824,32,0.694962,0.521758,0.903695,32,0.7357,0.314981,0.785557,32,0.955509,0.062712,0.969758,32,0.292309,0.322496,0.18873,32,0.911168,0.988533,0.401434,32,0.715999,0.809492,0.289438,32,6.490043,6.646351,4.194457,32,0.533014,0.563892,0.721294,28,0.499168,0.391572,0.530421,28,0.519048,0.503302,0.559019,32,100.0,3927003731.548787,8193106073.224531,1583987878.227234,32,0.738665,0.460349,0.954918,32,0.758225,0.374027,0.851047,32,0.961074,0.067416,0.973151,32,0.277892,0.325382,0.207772,32
